,journal,year,editor_id,first_na,middle_,last_na,inst,unit,city,state,country,notes
9,JAPE,2013,2757,Paul,NA,Armsworth,,unknown,,,,
10,JAPE,2014,2757,Paul,NA,Armsworth,,unknown,,,,
89,JAPE,2012,2771,Paulo,NA,Brando,Instituto de Pesqutsa Ambiental da Amazonia. ,unknown,Belem,Para,Brazil,
90,JAPE,2013,2771,Paulo,NA,Brando,,,,,,
91,JAPE,2014,2771,Paulo,NA,Brando,,,,,,
92,JAPE,2015,2771,Paulo,NA,Brando,,,,,,
257,JAPE,2005,2813,Paul,NA,Giller,University of College Cork,unknown,unknown,Cork,Ireland,
258,JAPE,2006,2813,Paul,NA,Giller,,unknown,unknown,,,
259,JAPE,2007,2813,Paul,NA,Giller,,unknown,unknown,,,
260,JAPE,2008,2813,Paul,NA,Giller,,unknown,unknown,,,
281,JAPE,2003,2827,Pall,NA,Hersteinsson,University of Iceland,unknown,Reykjavik,unknown,Iceland,
282,JAPE,2004,2827,Pall,NA,Hersteinsson,,unknown,,,,
283,JAPE,2005,2827,Pall,NA,Hersteinsson,,unknown,,,,
284,JAPE,2006,2827,Pall,NA,Hersteinsson,,unknown,,,,
324,JAPE,2005,2836,Phil,NA,Hulme,CEH Banchory,unknown,Aberdeenshire,unknown,United Kingdom,
325,JAPE,2006,2836,Phil,NA,Hulme,,,,,,
326,JAPE,2007,2836,Phil,NA,Hulme,,,,,,
323,JAPE,2008,2836,Phil,NA,Hulme,Lincoln University,unknown,Lincoln,unknown,New Zealand,
327,JAPE,2009,2836,Phil,NA,Hulme,,,,,,
328,JAPE,2010,2836,Phil,NA,Hulme,,,,,,
329,JAPE,2011,2836,Phil,NA,Hulme,,,,,,
330,JAPE,2012,2836,Phil,NA,Hulme,,,,,,
331,JAPE,2013,2836,Phil,NA,Hulme,,,,,,
332,JAPE,2014,2836,Phil,NA,Hulme,,,,,,
344,JAPE,1988,2840,Paul,Gordon,Jarvis,University of Edinburgh,unknown,Edinburgh,Midlothian,United Kingdom,
345,JAPE,1989,2840,Paul,Gordon,Jarvis,,,,,,
346,JAPE,1990,2840,Paul,Gordon,Jarvis,,,,,,
347,JAPE,1991,2840,Paul,Gordon,Jarvis,,,,,,
348,JAPE,1992,2840,Paul,Gordon,Jarvis,,,,,,
349,JAPE,1993,2840,Paul,Gordon,Jarvis,,,,,,
350,JAPE,1994,2840,Paul,Gordon,Jarvis,,,,,,
351,JAPE,1995,2840,Paul,Gordon,Jarvis,,,,,,
352,JAPE,1996,2840,Paul,Gordon,Jarvis,,,,,,
353,JAPE,1997,2840,Paul,Gordon,Jarvis,,,,,,
364,JAPE,2012,2844,Paul,NA,Kardol,Swedish University of Agricultural Sciences,unknown,Uppsala,unknown,Sweden,
365,JAPE,2013,2844,Paul,NA,Kardol,,unknown,,,,
366,JAPE,2014,2844,Paul,NA,Kardol,,unknown,,,,
367,JAPE,2015,2844,Paul,NA,Kardol,,unknown,,,,
402,JAPE,2008,2860,Paul,NA,Lukacs,Colorado Division of Wildlife,unknown,Fort Collins,Colorado,USA,
403,JAPE,2009,2860,Paul,NA,Lukacs,,,,,,
401,JAPE,2010,2860,Paul,NA,Lukacs,,,,,,
404,JAPE,2011,2860,Paul,NA,Lukacs,,,,,,
405,JAPE,2012,2860,Paul,NA,Lukacs,,,,,,
406,JAPE,2013,2860,Paul,NA,Lukacs,,,,,,
407,JAPE,2014,2860,Paul,NA,Lukacs,,,,,,
408,JAPE,2015,2860,Paul,NA,Lukacs,University of Montana,,Missoula,Montana,USA,
582,JAPE,1986,2910,Peter,NA,Rothery,British Antarctic Survey,unknown,Cambridge,unknown,United Kingdom,
583,JAPE,1987,2910,Peter,NA,Rothery,,unknown,,,,
584,JAPE,1988,2910,Peter,NA,Rothery,,unknown,,,,
585,JAPE,1989,2910,Peter,NA,Rothery,,unknown,,,,
586,JAPE,1990,2910,Peter,NA,Rothery,,unknown,,,,
587,JAPE,1991,2910,Peter,NA,Rothery,,unknown,,,,
588,JAPE,1992,2910,Peter,NA,Rothery,,unknown,,,,
589,JAPE,1993,2910,Peter,NA,Rothery,,unknown,,,,
590,JAPE,1994,2910,Peter,NA,Rothery,,unknown,,,,
591,JAPE,1995,2910,Peter,NA,Rothery,,unknown,,,,
592,JAPE,1996,2910,Peter,NA,Rothery,unknown,unknown,,,,
593,JAPE,1997,2910,Peter,NA,Rothery,unknown,unknown,,,,
594,JAPE,1998,2910,Peter,NA,Rothery,unknown,unknown,,,,
595,JAPE,1999,2910,Peter,NA,Rothery,,unknown,,,,
596,JAPE,2000,2910,Peter,NA,Rothery,,unknown,,,,
597,JAPE,2001,2910,Peter,NA,Rothery,CEH Monks Wood,unknown,Huntingdon,,,
598,JAPE,2002,2910,Peter,NA,Rothery,,unknown,,,,
599,JAPE,2003,2910,Peter,NA,Rothery,,unknown,,,,
600,JAPE,2004,2910,Peter,NA,Rothery,unknown,unknown,,,,
601,JAPE,2005,2910,Peter,NA,Rothery,unknown,unknown,,,,
602,JAPE,2006,2910,Peter,NA,Rothery,unknown,unknown,,,,
680,JAPE,2005,2923,Philip,A,Stephens,University of Bristol,unknown,Bristol,unknown,United Kingdom,
681,JAPE,2006,2923,Philip,A,Stephens,,,,,,
679,JAPE,2007,2923,Philip,A,Stephens,,,,,,
682,JAPE,2008,2923,Philip,A,Stephens,Durham University,,Durham,unknown,,
683,JAPE,2009,2923,Philip,A,Stephens,,,,,,
678,JAPE,2010,2923,Philip,A,Stephens,,,,,,
684,JAPE,2011,2923,Philip,A,Stephens,,,,,,
685,JAPE,2012,2923,Philip,A,Stephens,,,,,,
686,JAPE,2013,2923,Philip,A,Stephens,,,,,,
687,JAPE,2014,2923,Philip,A,Stephens,,,,,,
677,JAPE,2015,2923,Philip,A,Stephens,,,,,,
712,JAPE,2006,2936,Paul,M,Thompson,University of Aberdeen,unknown,Aberdeen,unknown,United Kingdom,
713,JAPE,2007,2936,Paul,M,Thompson,,unknown,,,,
714,JAPE,2008,2936,Paul,M,Thompson,,unknown,,,,
715,JAPE,2009,2936,Paul,M,Thompson,,unknown,,,,
534,JAPE,2008,2964,Quentin,NA,Paynter,Landcare Research Ltd,unknown,Auckland,unknown,New Zealand,
535,JAPE,2009,2964,Quentin,NA,Paynter,,unknown,,,,
533,JAPE,2010,2964,Quentin,NA,Paynter,,unknown,,,,
536,JAPE,2011,2964,Quentin,NA,Paynter,,unknown,,,,
537,JAPE,2012,2964,Quentin,NA,Paynter,,unknown,,,,
538,JAPE,2013,2964,Quentin,NA,Paynter,,unknown,,,,
539,JAPE,2014,2964,Quentin,NA,Paynter,,unknown,,,,
540,JAPE,2015,2964,Quentin,NA,Paynter,,unknown,,,,
124,JAPE,1989,3020,Ralph,T,Clarke,unknown,unknown,,,United Kingdom,
125,JAPE,1990,3020,Ralph,T,Clarke,Freshwater Biological Association,,Wareham,,,
126,JAPE,1991,3020,Ralph,T,Clarke,,,,,,
127,JAPE,1992,3020,Ralph,T,Clarke,,,,,,
128,JAPE,1993,3020,Ralph,T,Clarke,Institute of Terrestrial Ecology,,Furzebrook,,,
129,JAPE,1994,3020,Ralph,T,Clarke,,,unknown,,,
130,JAPE,1995,3020,Ralph,T,Clarke,,,unknown,,,
131,JAPE,1996,3020,Ralph,T,Clarke,,,unknown,,,
132,JAPE,1997,3020,Ralph,T,Clarke,,,unknown,,,
185,JAPE,1985,3048,Ron,W,Edwards,University of Wales,unknown,Cardiff,unknown,United Kingdom,
186,JAPE,1986,3048,Ron,W,Edwards,,,,,,
187,JAPE,1987,3048,Ron,W,Edwards,,,,,,
188,JAPE,1988,3048,Ron,W,Edwards,,,,,,
221,JAPE,2000,3063,Robert,P,Freckleton,University of East Anglia,unknown,Norwich,unknown,United Kingdom,
222,JAPE,2001,3063,Robert,P,Freckleton,University of Oxford ,unknown,Oxford,,,
223,JAPE,2002,3063,Robert,P,Freckleton,,unknown,,,,
224,JAPE,2003,3063,Robert,P,Freckleton,,unknown,,,,
225,JAPE,2004,3063,Robert,P,Freckleton,,unknown,,,,
220,JAPE,2005,3063,Robert,P,Freckleto,,unknown,,,,
226,JAPE,2006,3063,Robert,P,Freckleton,,unknown,,,,
219,JAPE,2007,3063,Robert,P,Freckleton,University of Sheffield ,unknown,Sheffield ,,,
227,JAPE,2008,3063,Robert,P,Freckleton,,unknown,,,,
228,JAPE,2009,3063,Robert,P,Freckleton,,unknown,,,,
261,JAPE,1996,3075,Rhys,E,Green,University of Edinburgh,unknown,Edinburgh,,United Kingdom,
262,JAPE,1997,3075,Rhys,E,Green,,unknown,,,,
263,JAPE,1998,3075,Rhys,E,Green,,unknown,,,,
264,JAPE,1999,3075,Rhys,E,Green,,unknown,,,,
265,JAPE,2000,3075,Rhys,E,Green,University of Cambridge,unknown,Cambridge,,,
266,JAPE,2001,3075,Rhys,E,Green,,unknown,,,,
267,JAPE,2002,3075,Rhys,E,Green,,unknown,,,,
410,JAPE,1988,3143,Rob,H,Marrs,Institute of Terrestrial Ecology,unknown,Abbots Ripton,Cambs,United Kingdom,
411,JAPE,1989,3143,Rob,H,Marrs,,unknown,,,,
412,JAPE,1990,3143,Rob,H,Marrs,,unknown,,,,
413,JAPE,1991,3143,Rob,H,Marrs,,unknown,,,,
414,JAPE,1992,3143,Rob,H,Marrs,University of Liverpool,unknown,Liverpool,unknown,,
415,JAPE,1993,3143,Rob,H,Marrs,,unknown,,,,
416,JAPE,1994,3143,Rob,H,Marrs,,unknown,,,,
417,JAPE,1995,3143,Rob,H,Marrs,,unknown,,,,
418,JAPE,1996,3143,Rob,H,Marrs,,unknown,,,,
419,JAPE,1997,3143,Rob,H,Marrs,,unknown,,,,
420,JAPE,1998,3143,Rob,H,Marrs,,unknown,,,,
421,JAPE,1999,3143,Rob,H,Marrs,,unknown,,,,
464,JAPE,1985,3150,Roger,NA,Mead,unknown,unknown,unknown,unknown,United Kingdom,
465,JAPE,1986,3150,Roger,NA,Mead,unknown,unknown,unknown,unknown,,
466,JAPE,1987,3150,Roger,NA,Mead,unknown,unknown,unknown,unknown,,
569,JAPE,2006,3198,Richard,F,Pywell,NERC,Center for Ecology and Hydrology ,Huntingdon,Cambs,United Kingdom,
570,JAPE,2007,3198,Richard,F,Pywell,,,,,,
613,JAPE,2004,3211,Roy,NA,Sanderson,Newcastle University,unknown,Newcastle Upon Tyne,unknown,United Kingdom,
614,JAPE,2005,3211,Roy,NA,Sanderson,,unknown,,,,
615,JAPE,2006,3211,Roy,NA,Sanderson,,unknown,,,,
631,JAPE,1985,3222,Roy,W,Snaydon,University of Reading ,unknown,Reading,Berks,United Kingdom,
632,JAPE,1986,3222,Roy,W,Snaydon,,unknown,,,,
633,JAPE,1987,3222,Roy,W,Snaydon,,unknown,,,,
634,JAPE,1988,3222,Roy,W,Snaydon,,unknown,,,,
635,JAPE,1989,3222,Roy,W,Snaydon,,unknown,,,,
636,JAPE,1990,3222,Roy,W,Snaydon,,unknown,,,,
637,JAPE,1991,3222,Roy,W,Snaydon,,unknown,,,,
638,JAPE,1992,3222,Roy,W,Snaydon,,unknown,,,,
639,JAPE,1993,3222,Roy,W,Snaydon,,unknown,,,,
640,JAPE,1994,3222,Roy,W,Snaydon,,unknown,,,,
641,JAPE,1995,3222,Roy,W,Snaydon,,unknown,,,,
642,JAPE,1996,3222,Roy,W,Snaydon,,unknown,,,,
643,JAPE,1997,3222,Roy,W,Snaydon,,unknown,,,,
644,JAPE,1998,3222,Roy,W,Snaydon,,unknown,,,,
645,JAPE,1999,3222,Roy,W,Snaydon,,unknown,,,,
11,JAPE,2010,3272,Shelley,NA,Arnott,Queens University ,unknown,unknown,Ontario,Canada,
12,JAPE,2011,3272,Shelley,NA,Arnott,,unknown,unknown,,,
13,JAPE,2012,3272,Shelley,NA,Arnott,,unknown,unknown,,,
14,JAPE,2013,3272,Shelley,NA,Arnott,,unknown,unknown,,,
15,JAPE,2014,3272,Shelley,NA,Arnott,,unknown,unknown,,,
16,JAPE,2015,3272,Shelley,NA,Arnott,,unknown,unknown,,,
517,JAPE,1996,3422,Steve,J,Ormerod,Cardiff University,School of Biosciences,Cardiff,Wales,United Kingdom,
518,JAPE,1997,3422,Steve,J,Ormerod,,,,,,
519,JAPE,1998,3422,Steve,J,Ormerod,,,,,,
520,JAPE,1999,3422,Steve,J,Ormerod,,,,,,
516,JAPE,2000,3422,Steve,J,Ormerod,,,,,,
521,JAPE,2001,3422,Steve,J,Ormerod,,,,,,
522,JAPE,2002,3422,Steve,J,Ormerod,,,,,,
523,JAPE,2003,3422,Steve,J,Ormerod,,,,,,
524,JAPE,2004,3422,Steve,J,Ormerod,,,,,,
604,JAPE,2001,3456,Stephen,P,Rushton,University of Newcastle upon Tyne,unknown,Newcastle Upon Tyne,unknown,United Kingdom,
603,JAPE,2002,3456,Stephen,P,Rushton,,,,,,
605,JAPE,2002,3456,Stephen,P,Rushton,,,,,,
606,JAPE,2003,3456,Stephen,P,Rushton,,,,,,
607,JAPE,2004,3456,Stephen,P,Rushton,,,,,,
608,JAPE,2005,3456,Stephen,P,Rushton,,,,,,
617,JAPE,2012,3461,Santiago,NA,Saura,Universidad Politecnica de Madrid,unknown,Madrid,unknown,Spain,
616,LECO,2012,3461,S,NA,Saura,,,,,,
618,JAPE,2013,3461,Santiago,NA,Saura,,,,,,
619,JAPE,2014,3461,Santiago,NA,Saura,,,,,,
690,JAPE,2006,3486,Simon,NA,Thirgood,The Macaulay Institute ,unknown,Aberdeen,unknown,United Kingdom,
691,JAPE,2007,3486,Simon,NA,Thirgood,,,,,,
692,JAPE,2008,3486,Simon,NA,Thirgood,,,,,,
693,JAPE,2009,3486,Simon,NA,Thirgood,,,,,,
731,JAPE,2012,3495,Steve,NA,Votier,University of Plymouth,unknown,Plymouth,unknown,United Kingdom,
732,JAPE,2013,3495,Steve,NA,Votier,,,,,,
730,JAPE,2014,3495,Steve,NA,Votier,University of Exeter,,Exeter,,,
733,JAPE,2015,3495,Steve,NA,Votier,,,,,,
738,JAPE,2013,3498,Shiqiang,NA,Wan,Henan University,unknown,Kaifeng,unknown,China,
739,JAPE,2014,3498,Shiqiang,NA,Wan,,,,,,
740,JAPE,2015,3498,Shiqiang,NA,Wan,,,,,,
782,JAPE,2015,3503,Steve,NA,Wills,Durham University,unknown,Durham,unknown,United Kingdom,
530,JAPE,2013,3619,Tomas,NA,Part,Swedish University of Agricultural Sciences,unknown,Uppsala,unknown,Sweden,
531,JAPE,2014,3619,Tomas,NA,Part,,,,,,
532,JAPE,2015,3619,Tomas,NA,Part,,,,,,
579,JAPE,1985,3630,T,M,Roberts,unknown,unknown,unknown,unknown,United Kingdom,
580,JAPE,1986,3630,T,M,Roberts,,,,,,
581,JAPE,1987,3630,T,M,Roberts,,,,,,
721,JAPE,2003,3648,Teja,NA,Tscharntke,University of Gottingen,unknown,Gottingen,unknown,Germany,
722,JAPE,2004,3648,Teja,NA,Tscharntke,,,,,,
723,JAPE,2005,3648,Teja,NA,Tscharntke,,,,,,
724,JAPE,2006,3648,Teja,NA,Tscharntke,,,,,,
175,JAPE,2013,3681,Vincent,NA,Devictor,CNRS,unknown,Montpellier,unknown,France,
176,JAPE,2014,3681,Vincent,NA,Devictor,,,,,,
177,JAPE,2015,3681,Vincent,NA,Devictor,,,,,,
67,JAPE,1985,3714,William,C,Block,unknown,unknown,unknown,unknown,United Kingdom,
68,JAPE,1986,3714,William,C,Block,,,,,,
69,JAPE,1987,3714,William,C,Block,,,,,,
70,JAPE,1988,3714,William,C,Block,,,,,,
71,JAPE,1989,3714,William,C,Block,,,,,,
166,JAPE,1988,3730,W,NA,Day,unknown,unknown,unknown,unknown,United Kingdom,
167,JAPE,1989,3730,W,NA,Day,,,,,,
168,JAPE,1990,3730,W,NA,Day,,,,,,
169,JAPE,1991,3730,W,NA,Day,,,,,,
170,JAPE,1992,3730,W,NA,Day,,,Silsoe,,,
171,JAPE,1993,3730,W,NA,Day,,,Silsoe,,,
172,JAPE,1994,3730,W,NA,Day,,,Silsoe,,,
173,JAPE,1995,3730,W,NA,Day,,,Silsoe,,,
174,JAPE,1996,3730,W,NA,Day,,,Silsoe,,,
399,JAPE,1997,3766,W,M,Lonsdale,CSIRO ,unknown,Montpellier,unknown,France,MISSING 1998
400,JAPE,1999,3766,W,M,Lonsdale,CSIRO ,unknown,Canberra,unknown,Australia,
495,JAPE,2007,3772,William,NA,Montevecchi,Memorial University of Newfoundland,unknown,Newfoundland,unknown,Canada,
496,JAPE,2008,3772,William,NA,Montevecchi,,,,,,
497,JAPE,2009,3772,William,NA,Montevecchi,,,,,,
494,JAPE,2010,3772,William,NA,Montevecchi,,,,,,
498,JAPE,2011,3772,William,NA,Montevecchi,,,,,,
499,JAPE,2012,3772,William,NA,Montevecchi,,,,,,
94,JAPE,2005,3829,Yvonne,NA,Buckley,University of Queensland,unknown,Brisbane,unknown,Australia,
95,JAPE,2006,3829,Yvonne,NA,Buckley,,unknown,,,,
96,JAPE,2007,3829,Yvonne,NA,Buckley,,unknown,,,,
97,JAPE,2008,3829,Yvonne,NA,Buckley,,unknown,,,,
98,JAPE,2009,3829,Yvonne,NA,Buckley,,unknown,,,,
99,JAPE,2011,3829,Yvonne,NA,Buckley,,unknown,,,,
100,JAPE,2012,3829,Yvonne,NA,Buckley,,unknown,,,,
101,JAPE,2013,3829,Yvonne,NA,Buckley,,unknown,,,,
93,JECOL,2014,3829,Yvonne,NA,Buckley,unknown,unknown,unknown,unknown,NA,NOT IN THE DOC
135,JAPE,2008,3833,Yann,NA,Clough,Gottingen University ,unknown,Gottingen,unknown,Germany,
136,JAPE,2009,3833,Yann,NA,Clough,,,,,,
134,JAPE,2010,3833,Yann,NA,Clough,,,,,,
137,JAPE,2011,3833,Yann,NA,Clough,,,,,,
138,JAPE,2012,3833,Yann,NA,Clough,,,,,,
139,JAPE,2013,3833,Yann,NA,Clough,,,,,,
140,JAPE,2014,3833,Yann,NA,Clough,,,,,,
133,JAPE,2015,3833,Yann,NA,Clough,CEC ,unknown,Lund,unknown,Sweden,
34,JAPE,2002,3881,Jacques,NA,Baudry,INRA,unknown,Rennes,unknown,France,
35,JAPE,2003,3881,Jacques,NA,Baudry,,,,,,
36,JAPE,2004,3881,Jacques,NA,Baudry,,,,,,
37,JAPE,2005,3881,Jacques,NA,Baudry,,,,,,
38,JAPE,2006,3881,Jacques,NA,Baudry,,,,,,
50,JAPE,2014,3882,Joseph,NA,Bennett,University of Queensland,unknown,Brisbane,unknown,Australia,
51,JAPE,2015,3882,Joseph,NA,Bennett,,,,,,
423,JAPE,2001,3898,Jon,NA,Marshall,University of Bristol,Department of Agricultural Sciences ,Bristol,unknown,United Kingdom,
422,JAPE,2002,3898,Jon,NA,Marshall,Marshall Agroecology,unknown,Somerset,,,
424,JAPE,2003,3898,Jon,NA,Marshall,,unknown,,,,
425,JAPE,2004,3898,Jon,NA,Marshall,,unknown,,,,
790,JAPE,2002,3914,Jeremy,NA,Wilson,Royal Society for the Protection of Birds,unknown,Edinburgh,unknown,United Kingdom,
791,JAPE,2003,3914,Jeremy,NA,Wilson,,unknown,,,,
792,JAPE,2004,3914,Jeremy,NA,Wilson,,unknown,,,,
793,JAPE,2005,3914,Jeremy,NA,Wilson,,unknown,,,,
794,JAPE,2006,3914,Jeremy,NA,Wilson,,unknown,,,,
795,JAPE,2007,3914,Jeremy,NA,Wilson,,unknown,,,,
789,JAPE,2010,3914,Jeremy,NA,Wilson,,unknown,,,,
796,JAPE,2011,3914,Jeremy,NA,Wilson,,unknown,,,,
797,JAPE,2012,3914,Jeremy,NA,Wilson,,unknown,,,,
798,JAPE,2013,3914,Jeremy,NA,Wilson,,unknown,,,,
799,JAPE,2014,3914,Jeremy,NA,Wilson,,unknown,,,,
800,JAPE,2015,3914,Jeremy,NA,Wilson,,unknown,,,,
246,JAPE,2013,3930,Richard,NA,Fuller,University of Queensland,unknown,Brisbane,unknown,Australia,
247,JAPE,2014,3930,Richard,NA,Fuller,,unknown,,,,
248,JAPE,2015,3930,Richard,NA,Fuller,,unknown,,,,