"","JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","INST","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","GENDER","NOTES"
"1","OIKOS",2009,118,1,"1025","Eric",NA,"Seabloom","Subject.Editor","SE",NA,NA,"Corvallis","OR","USA",NA,"USA",NA,NA,NA
"2","OIKOS",1986,46,1,"1048","F",NA,"Andersson","Editorial.Board","SE",NA,NA,"Uppsala",NA,"Sweden",NA,"SWE",NA,NA,NA
"3","OIKOS",2010,119,1,"1138","Frank","van","Veen","Subject.Editor","SE",NA,NA,"Silwood Park",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"4","OIKOS",2009,118,1,"1142","Franz",NA,"Weissing","Subject.Editor","SE",NA,NA,"Groningen",NA,"Netherlands",NA,"NLD",NA,NA,NA
"5","OIKOS",2009,118,1,"1339","Hamish",NA,"Mccallum","Subject.Editor","SE",NA,NA,"Hobart","Tasmania","Australia",NA,"AUS",NA,NA,NA
"6","OIKOS",2014,123,1,"1430","Jessica",NA,"Abbot","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA
"7","OIKOS",2012,121,1,"1445","Joseph",NA,"Bailey","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"8","OIKOS",2008,117,1,"1453","Jordi",NA,"Bascompte","Subject.Editor","SE",NA,NA,"Seville",NA,"Spain",NA,"ESP",NA,NA,NA
"9","OIKOS",2013,122,1,"1490","James",NA,"Bullock","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA
"10","OIKOS",2013,122,1,"1492","Joshep",NA,"Bump","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"11","OIKOS",2010,119,1,"1547","Jose","Alexandre","Diniz-Filho","Subject.Editor","SE",NA,NA,"Goias",NA,"Brazil",NA,"BRA",NA,NA,NA
"12","OIKOS",2009,118,1,"1552","Jennifer",NA,"Dunne","Subject.Editor","SE",NA,NA,"Santa Fe","NM","USA",NA,"USA",NA,NA,NA
"13","OIKOS",2013,122,1,"1678","Johan",NA,"Kotze","Subject.Editor","SE",NA,NA,NA,NA,"Finland",NA,"FIN",NA,NA,NA
"14","OIKOS",2005,108,1,"1715","Jan",NA,"Lindstrom","Subject.Editor","SE",NA,NA,"Glasgow",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"15","OIKOS",2006,112,1,"1757","Jane",NA,"Memmott","Subject.Editor","SE",NA,NA,"Bristol",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"16","OIKOS",2009,118,1,"1846","James","D","Roth","Subject.Editor","SE",NA,NA,"Orlando","FL","USA",NA,"USA",NA,NA,NA
"17","OIKOS",2010,119,1,"1850","Jennifer",NA,"Rudgers","Subject.Editor","SE",NA,NA,"Houston","TX","USA",NA,"USA",NA,NA,NA
"18","OIKOS",2008,117,1,"1866","Jonathan",NA,"Shurin","Subject.Editor","SE",NA,NA,"Vancouver","British Columbia","Canada",NA,"CAN",NA,NA,NA
"19","OIKOS",2012,121,1,"1918","Jotaro",NA,"Urabe","Subject.Editor","SE",NA,NA,NA,NA,"Japan",NA,"JPN",NA,NA,NA
"20","OIKOS",2010,119,1,"1923","Jan",NA,"Vangils","Subject.Editor","SE",NA,NA,"Nieuwersluis",NA,"Netherlands",NA,"NLD",NA,NA,NA
"21","OIKOS",1986,46,1,"193","A",NA,"Semb-Johansson","Editorial.Board","SE",NA,NA,"Oslo",NA,"Norway",NA,"NOR",NA,NA,NA
"22","OIKOS",2008,117,1,"1932","John",NA,"Vucetich","Subject.Editor","SE",NA,NA,"Houghton","MI","USA",NA,"USA",NA,NA,NA
"23","OIKOS",2010,119,1,"2023","Karin",NA,"Johst","Subject.Editor","SE",NA,NA,"Leipzig",NA,"Germany",NA,"DEU",NA,NA,NA
"24","OIKOS",2014,123,1,"2054","Kailen",NA,"Mooney","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"25","OIKOS",2008,117,1,"2082","Kenneth",NA,"Schmidt","Subject.Editor","SE",NA,NA,"Lubbock","TX","USA",NA,"USA",NA,NA,NA
"26","OIKOS",2007,116,1,"2100","Kathy",NA,"Suding","Subject.Editor","SE",NA,NA,"Irvine","CA","USA",NA,"USA",NA,NA,NA
"27","OIKOS",2008,117,1,"2119","Lonnie","W","Aarsen","Subject.Editor","SE",NA,NA,"Kingston","Ontario","Canada",NA,"CAN",NA,NA,NA
"28","OIKOS",2010,119,1,"217","Anna",NA,"Traveset","Subject.Editor","SE",NA,NA,"Mallorca",NA,"Spain",NA,"ESP",NA,NA,NA
"29","OIKOS",2012,121,1,"217","Anna",NA,"Traveser","Subject.Editor","SE",NA,NA,NA,NA,"Spain",NA,"ESP",NA,NA,NA
"30","OIKOS",2005,108,1,"2216","Lauri",NA,"Oksanen","Subject.Editor","SE",NA,NA,"Umea",NA,"Sweden",NA,"SWE",NA,NA,NA
"31","OIKOS",2013,122,1,"2259","Louie","H","Yang","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"32","OIKOS",2008,117,1,"2283","Mathew",NA,"Ayres","Subject.Editor","SE",NA,NA,"Hanover","NH","USA",NA,"USA",NA,NA,NA
"33","OIKOS",2014,123,1,"2297","Matty","P","Berg","Subject.Editor","SE",NA,NA,NA,NA,"Netherlands",NA,"NLD",NA,NA,NA
"34","OIKOS",2007,116,1,"2304","Mike",NA,"Bonsall","Subject.Editor","SE",NA,NA,"Oxford",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"35","OIKOS",2013,122,1,"2308","Mathew",NA,"Bracken","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"36","OIKOS",2009,118,1,"244","Beatrix",NA,"Beisner","Subject.Editor","SE",NA,NA,"Montreal",NA,"Canada",NA,"CAN",NA,NA,NA
"37","OIKOS",2013,122,1,"2466","Margie",NA,"Mayfield","Subject.Editor","SE",NA,NA,NA,NA,"Australia",NA,"AUS",NA,NA,NA
"38","OIKOS",2013,122,1,"253","Ben",NA,"Chapman","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA
"39","OIKOS",2012,121,1,"2530","Martin",NA,"Quigley","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"40","OIKOS",2010,119,1,"2567","Martin",NA,"Solan","Subject.Editor","SE",NA,NA,"Aberdeenshire",NA,"United Kingdom",NA,"GBR",NA,NA,"Scotland"
"41","OIKOS",2013,122,1,"2576","Matthew",NA,"Symonds","Subject.Editor","SE",NA,NA,NA,NA,"Australia",NA,"AUS",NA,NA,NA
"42","OIKOS",2010,119,1,"2590","Mark",NA,"Vellend","Subject.Editor","SE",NA,NA,"Ithaca","NY","USA",NA,"USA",NA,NA,NA
"43","OIKOS",2012,121,1,"2594","Matthijs",NA,"Vos","Subject.Editor","SE",NA,NA,"Potsdam",NA,"Germany",NA,"DEU",NA,NA,NA
"44","OIKOS",2014,123,1,"2615","Monica",NA,"Winder","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA
"45","OIKOS",2008,117,1,"2648","Nicholas",NA,"Gotelli","Subject.Editor","SE",NA,NA,"Burlington","VT","USA",NA,"USA",NA,NA,NA
"46","OIKOS",2013,122,1,"268","Bruno",NA,"Ernande","Subject.Editor","SE",NA,NA,NA,NA,"France",NA,"FRA",NA,NA,NA
"47","OIKOS",1986,46,1,"2723","O",NA,"Jarvinen","Editorial.Board","SE",NA,NA,"Helsinki",NA,"Finland",NA,"FIN",NA,NA,NA
"48","OIKOS",2008,117,1,"2732","Owen",NA,"Petchey","Subject.Editor","SE",NA,NA,"Sheffield",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"49","OIKOS",2012,121,1,"2819","Paulo",NA,"Guimaraes","Subject.Editor","SE",NA,NA,NA,NA,"Brazil",NA,"BRA",NA,NA,NA
"50","OIKOS",2013,122,1,"283","Bente",NA,"Grae","Subject.Editor","SE",NA,NA,NA,NA,"Norway",NA,"NOR",NA,NA,NA
"51","OIKOS",2007,116,1,"2878","Pia",NA,"Mutikainen","Subject.Editor","SE",NA,NA,"Oulu",NA,"Finland",NA,"FIN",NA,NA,NA
"52","OIKOS",2010,119,1,"2878","Pia",NA,"Mutikainen","Subject.Editor","SE",NA,NA,"Zurich",NA,"Switzerland",NA,"CHE",NA,NA,NA
"53","OIKOS",2010,119,1,"288","Brad",NA,"Hawkins","Subject.Editor","SE",NA,NA,"Irvine","CA","USA",NA,"USA",NA,NA,NA
"54","OIKOS",2013,122,1,"2941","Peter",NA,"Todd","Subject.Editor","SE",NA,NA,NA,NA,"Singapore",NA,"SGP",NA,NA,NA
"55","OIKOS",2014,123,1,"3000","Rein",NA,"Brys","Subject.Editor","SE",NA,NA,NA,NA,"Belgium",NA,"BEL",NA,NA,NA
"56","OIKOS",2010,119,1,"3053","Rampal",NA,"Etienne","Subject.Editor","SE",NA,NA,"Groningen",NA,"Netherlands",NA,"NLD",NA,NA,NA
"57","OIKOS",2013,122,1,"3153","Richard",NA,"Michalet","Subject.Editor","SE",NA,NA,NA,NA,"France",NA,"FRA",NA,NA,NA
"58","OIKOS",2012,121,1,"3185","Robin",NA,"Pakeman","Subject.Editor","SE",NA,NA,"Leeds",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"59","OIKOS",2012,121,1,"3205","Robin",NA,"Robinson","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA
"60","OIKOS",2012,121,1,"3228","Richard",NA,"Stevens","Subject.Editor","SE",NA,NA,"Baton Rouge","LA","USA",NA,"USA",NA,NA,NA
"61","OIKOS",2012,121,1,"3259","Regino",NA,"Zamora","Subject.Editor","SE",NA,NA,NA,NA,"Spain",NA,"ESP",NA,NA,NA
"62","OIKOS",2012,121,1,"3265","Stefano",NA,"Allesina","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"63","OIKOS",1986,46,1,"3271","S","T","Andersen","Editorial.Board","SE",NA,NA,"Copenhagen",NA,"Denmark",NA,"DNK",NA,NA,NA
"64","OIKOS",2010,119,1,"3287","Stan",NA,"Boutin","Subject.Editor","SE",NA,NA,"Edmonton","Alberta","Canada",NA,"CAN",NA,NA,NA
"65","OIKOS",2014,123,1,"3502","Shawn",NA,"Wilder","Subject.Editor","SE",NA,NA,NA,NA,"Australia",NA,"AUS",NA,NA,NA
"66","OIKOS",2005,108,1,"3514","Tim",NA,"Benton","Subject.Editor","SE",NA,NA,"Aberdeen",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"67","OIKOS",2008,117,1,"3514","Tim",NA,"Benton","Deputy.EIC","EIC",NA,NA,"Leeds",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"68","OIKOS",2014,123,1,"3523","Timothy",NA,"Cavagnaro","Subject.Editor","SE",NA,NA,NA,NA,"Australia",NA,"AUS",NA,NA,NA
"69","OIKOS",2008,117,1,"3550","Tadashi",NA,"Fukami","Subject.Editor","SE",NA,NA,"Honolulu","HI","USA",NA,"USA",NA,NA,NA
"70","OIKOS",2009,118,1,"3581","Tiffany",NA,"Knight","Subject.Editor","SE",NA,NA,"Saint Louis","MO","USA",NA,"USA",NA,NA,NA
"71","OIKOS",2009,118,1,"3649","Thomas",NA,"Valone","Subject.Editor","SE",NA,NA,"Saint Louis","MO","USA",NA,"USA",NA,NA,NA
"72","OIKOS",2010,119,1,"3659","Thorsten",NA,"Wiegand","Subject.Editor","SE",NA,NA,"Leipzig",NA,"Germany",NA,"DEU",NA,NA,NA
"73","OIKOS",2009,118,1,"3665","Ulrich",NA,"Brose","Subject.Editor","SE",NA,NA,"Darmstadt",NA,"Germany",NA,"DEU",NA,NA,NA
"74","OIKOS",2005,108,1,"3688","Veijo",NA,"Kaitala","Subject.Editor","SE",NA,NA,"Helsinki",NA,"Finland",NA,"FIN",NA,NA,NA
"75","OIKOS",2013,122,1,"3776","Wendt",NA,"Muller","Subject.Editor","SE",NA,NA,NA,NA,"Belgium",NA,"BEL",NA,NA,NA
"76","OIKOS",2012,121,1,"3813","Werner",NA,"Ulrich","Subject.Editor","SE",NA,NA,NA,NA,"Poland",NA,"POL",NA,NA,NA
"77","OIKOS",2009,118,1,"3814","Wim",NA,"Vanderputten","Subject.Editor","SE",NA,NA,"Heteren",NA,"Netherlands",NA,"NLD",NA,NA,NA
"78","OIKOS",2012,121,1,"3870","Dustin",NA,"Marshall","Deputy.EIC","EIC",NA,NA,"Queensland",NA,"Australia",NA,"AUS",NA,NA,NA
"79","OIKOS",2009,118,1,"3888","Jeremy","W","Fox","Subject.Editor","SE",NA,NA,"Calgary","Alberta","Canada",NA,"CAN",NA,NA,NA
"80","OIKOS",2012,121,1,"3901","Jonathan","W","Moore","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"81","OIKOS",2012,121,1,"3910","Justin",NA,"Travis","Subject.Editor","SE",NA,NA,"Aberdeen",NA,"United Kingdom",NA,"GBR",NA,NA,NA
"82","OIKOS",2013,122,1,"3916","Lars-Anders",NA,"Hansson","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA
"83","OIKOS",2012,121,1,"3946","Tom",NA,"Webb","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA
"84","OIKOS",2008,117,1,"405","Christer",NA,"Bronmark","Subject.Editor","SE",NA,NA,"Lund",NA,"Sweden",NA,"SWE",NA,NA,NA
"85","OIKOS",2007,116,1,"514","Chris",NA,"Lortie","Subject.Editor","SE",NA,NA,"Vancouver",NA,"Canada",NA,"CAN",NA,NA,NA
"86","OIKOS",2013,122,1,"519","Carlos",NA,"Malian","Subject.Editor","SE",NA,NA,NA,NA,"Switzerland",NA,"CHE",NA,NA,NA
"87","OIKOS",1986,46,1,"538","C","Overgaard","Nielsen","Editorial.Board","SE",NA,NA,"Copenhagen",NA,"Denmark",NA,"DNK",NA,NA,NA
"88","OIKOS",2005,108,1,"54","Andre","M","Deroos","Subject.Editor","SE",NA,NA,"Amsterdam",NA,"Netherlands",NA,"NLD",NA,NA,NA
"89","OIKOS",2013,122,1,"564","Carry","Le","Roy","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"90","OIKOS",2013,122,1,"575","Christopher",NA,"Swan","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"91","OIKOS",2013,122,1,"632","Dries",NA,"Bonte","Acting.Director.In.Chief","EIC",NA,NA,NA,NA,"Belgium",NA,"BEL",NA,NA,NA
"92","OIKOS",2012,121,1,"646","David",NA,"Chalcraft","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA
"93","OIKOS",2012,121,1,"713","Daniel",NA,"Gruner","Subject.Editor","SE",NA,NA,"College Park","MD","USA",NA,"USA",NA,NA,NA
"94","OIKOS",2005,108,1,"720","Dag","O","Hessen","Subject.Editor","SE",NA,NA,"Oslo",NA,"Norway",NA,"NOR",NA,NA,NA
"95","OIKOS",2012,121,1,"838","Daniel",NA,"Reuman","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA
"96","OIKOS",2009,118,1,"898","Diego",NA,"Vazquez","Subject.Editor","SE",NA,NA,"Mendoza",NA,"Argentina",NA,"ARG",NA,NA,NA
"97","OIKOS",2009,118,1,"942","Enrique",NA,"Chaneton","Subject.Editor","SE",NA,NA,"Buenos Aires",NA,"Argentina",NA,"ARG",NA,NA,NA
"98","OIKOS",1986,46,1,"954","E",NA,"Dahl","Editorial.Board","SE",NA,NA,"As-NLH",NA,"Norway",NA,"NOR",NA,NA,NA
"99","OIKOS",1986,46,1,"977","E",NA,"Haukioja","Editorial.Board","SE",NA,NA,"Turku",NA,"Finland",NA,"FIN",NA,NA,NA
