,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,NOTES,,
1,PLANTECOL,1985,2281,Mike,P,Austin,CSIRO,NA,Canberra,NA,Australia,2x,Correct,,
2,PLANTECOL,1985,1457,James,S,Beard,Vegetation Survey of Western Australia,NA,Applecross,Western Australia,Australia,spotcheck,NA,,
5,PLANTECOL,1985,1593,Jean-Marie,NA,Gehu,NA,NA,Paris,NA,France,2x,NA,,
7,PLANTECOL,1985,705,David,C,Glenn-Lewin,Iowa State University,NA,Ames,Iowa,United States,2x,NA,,
9,PLANTECOL,1985,3749,Wolfgang,NA,Holzner,University of Pittsburgh,NA,Vienna,NA,Austria,2x,NA,,
10,PLANTECOL,1985,1092,Frank,NA,Klotzli,University of Potsdam,NA,Zurich,NA,Switzerland,spotcheck,NA,,
11,PLANTECOL,1985,139,Ariel,E,Lugo,USDA Forest Service,NA,Rio Piedras,NA,Puerto Rico,2x,Correct,,
13,PLANTECOL,1985,1035,Eddy,NA,VanDerMaarel,Rutgers University,NA,Uppsala,NA,Sweden,2x,Incorrect,LISTED AT UNIVERSITY OF UPPSALA,
14,PLANTECOL,1985,2604,Marinus,JA,Werger,Ohio State University,NA,Utrecht,NA,Netherlands,2x,Incorrect,Listed at University of Utrecht,
18,PLANTECOL,1987,2345,Max,NA,Debussche,CSIRO,NA,Montpellier,NA,France,spotcheck,NA,,
23,PLANTECOL,1988,1849,Jelte,NA,Rozema,University of Stirling,NA,Amsterdam,NA,The Netherlands,2x,NA,,
24,PLANTECOL,1988,576,Cajo,JF,TerBraak,Wageningen University,NA,NA,NA,The Netherlands,spotcheck,Correct,,
25,PLANTECOL,1988,3658,Timothy,C,Whitmore,University of Colorado-Boulder,NA,Oxford,NA,UK,2x,Incorrect,Listed at Oxford Forestry Institute,
31,PLANTECOL,1990,2006,Kazue,NA,Fujiwara,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,Correct,,
32,PLANTECOL,1990,282,Brij,NA,Gopal,Jawaharial Nehru University,School of Enviromental Sciences,New Delhi,NA,India,2x,Correct,,
34,PLANTECOL,1990,2033,Konstantin,O,Korotkov,Institute of Animal Evolutionary Morphology and Ecology,Sukatchev Laboratory of General Ecology and Biogeocoenology,Moscow,NA,USSR,spotcheck,Correct,,
37,PLANTECOL,1990,139,Ariel,E,Lugo,Center for Energy & Environmental Research,Tropical and World Carbon Budget Division,San Juan,NA,Puerto Rico,2x,Correct,,
40,PLANTECOL,1990,153,Atsushi,NA,Miyawaki,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,Correct,,
41,PLANTECOL,1990,2882,Pier,L,Nimis,University of Trieste,"Dipartimento di Biologia, Sezione di Geobotanica et Ecologia",Trieste,NA,Italy,2x,Correct,,
42,PLANTECOL,1990,1849,Jelte,NA,Rozema,Vrije Universiteit,Faculteit Biologie,Amsterdam,NA,The Netherlands,spotcheck,Correct,,
43,PLANTECOL,1990,2737,Osvaldo,E,Sala,University of Buenos Aires,Departamento de Ecolog�a,Buenos Aires,NA,Argentina,2x,Correct,,
45,PLANTECOL,1990,221,Arnold,Green,VanDerValk,Iowa State University,Ecology and Evolutionary Biology Department of Botany,Armes,Iowa,United States,2x,Correct,,
46,PLANTECOL,1990,899,Dale,H,Vitt,University of Alberta,Department of Botany,Edmonton,Alberta,Canada,2x,Correct,,
48,PLANTECOL,1990,2604,Marinus,JA,Werger,University of Utrecht,Department of Plant Ecology and Vegetation Science,Utrecht,NA,Netherlands,2x,Correct,,
51,PLANTECOL,1991,937,Elgene,O,Box,University of Georgia,NA,Athens,GA,United States,spotcheck,Missing department,,
56,PLANTECOL,1991,3108,Robert,L,Jefferies,University of Toronto,Department of Botany,Toronto,NA,Canada,spotcheck,Correct,,
57,PLANTECOL,1991,3762,William,K,Lauenroth,Colorado State University,Range Science,Fort Collins,Colorado,United States,2x,Correct,,
63,PLANTECOL,1993,3566,Tadaki,NA,Hirose,Tohoku University,Biological Institute,Sendal,NA,Japan,2x,Correct,,
64,PLANTECOL,1993,127,Anslem,NA,Kratochwil,Universitat Osnabruck,Fachbereich Biologie/Chemie,Osnabruk,NA,Germany,2x,Correct,,
65,PLANTECOL,1993,1324,Hans,NA,Lambers,University of Illinois at Chicago,NA,NA,NA,Australia,spotcheck,Not listed for this year,,
70,PLANTECOL,1995,705,David,C,Glenn-Lewin,Wichita State University,Fairmont College of Liberal Arts and Sciences,Wichita,Kansas,United States,2x,Correct,,
71,PLANTECOL,1996,1441,Juan,J,Armesto,Universidad de Chile,"Laboratorio de Sistematica y Ecologia Vegetal, Facultad de Ciencias",Casilla,NA,Chile,spotcheck,Correct,,
74,PLANTECOL,1996,3041,Rodolfo,NA,Dirzo,Universidad Nacional Autonoma de Mexico,NA,Mexico D.F.,NA,Mexico,2x,Correct,,
77,PLANTECOL,1996,1800,John,NA,Pastor,University of Minnesota,"Centre for Water & the Environment, Natural Resources Research Institute",Duluth,Minnesota,United States,spotcheck,Correct,,
79,PLANTECOL,1997,3026,Richard,M,Cowling,University of Cape Town,"Institute for Plant Conservation, Department of Botany",Rondebosch,NA,South Africa,2x,Correct,,
82,PLANTECOL,1997,1315,Henry,F,Howe,University of Illinois at Chicago,Department of Biological Sciences,Chicago,Illinois,United States,2x,Correct,,
84,PLANTECOL,1997,3582,Takashi,NA,Kohyama,Hokkaido University,Graduate School of Environmental Earth Science,Sapporo,NA,Japan,spotcheck,Correct,,
85,PLANTECOL,1997,1819,John,NA,Proctor,University of Stirling,School of Biological and Molecular Sciences,Stirling,Scotland,UK,2x,Correct,,
91,PLANTECOL,2000,2976,Richard,Green,Baker,University of Iowa,Department of Geology,Iowa City,Iowa,United States,2x,Correct,,
92,PLANTECOL,2000,2032,Kenneth,NA,Koehler,Iowa State University,Department of Statistics,Ames,Iowa,United States,2x,Correct,,
95,PLANTECOL,2001,3334,Susan,M,Galatowitsch,University of Minnesota,Department of Horticultural Science,St. Paul,Minnesota,United States,2x,Correct,,
98,PLANTECOL,2001,3781,William,J,Platt,Lousiana State University,Department of Biological Sciences,Baton Rouge,Louisiana,United States,spotcheck,Correct,,
100,PLANTECOL,2002,3026,Richard,M,Cowling,University of Port Elizabeth,Department of Botany,Port Elizabeth,NA,South Africa,2x,Correct,,
102,PLANTECOL,2002,705,David,C,Glenn-Lewin,Unity College,NA,Unity,Maine,United States,2x,Correct,,
105,PLANTECOL,2002,2102,Karle,V,Sykora,Wageningen University,Department of Environmental Sciences,Wegningen,NA,The Netherlands,spotcheck,City spelled wrong,,
106,PLANTECOL,2002,2586,Marcel,G A,VanDerHeijden,Vrije Universiteit,Faculteit Biologie,Amsterdam,NA,Netherlands,2x,Correct,,
107,PLANTECOL,2003,3041,Rodolfo,NA,Dirzo,Universidad National Autonoma de Mexico,Departamento de Ecologia Evolutica,Mexico D.F.,NA,Mexico,2x,Correct,,
109,PLANTECOL,2004,934,Edwin,NA,Bergmeier,University of Gottingen,Albrecht-von-Haller Institute of Plant Sciences,Gottingen,NA,Germany,2x,Correct,,
110,PLANTECOL,2004,3716,William,J,Bond,University of Cape Town,NA,NA,NA,South Africa,2x,Not listed for this year,,
114,PLANTECOL,2004,3504,Scott,NA,Wilson,University of Regina,Department of Biology,Regina,Saskatchewa,United States,spotcheck,Correct,,
115,PLANTECOL,2005,1496,James,F,Cahill,University of Alberta,Department of Biological Sciences,Edmonton,Alberta,Canada,2x,Correct,,
116,PLANTECOL,2005,942,Enrique,J,Chaneton,Universidad de Buenos Aires,"Departamento de Recursos Naturales, Facultad de Agronomia",Buenos Aires,NA,Argentina,2x,Correct,,
119,PLANTECOL,2005,815,Duane,A,Peltzer,Landcare Research Manaaki Whenua,NA,NA,NA,New Zealand,2x,Correct,,
122,PLANTECOL,2006,3723,Walter,P,Carson,University of Pittsburgh,NA,Pittsburgh,Pennsylvania,United States,spotcheck,Correct,,
124,PLANTECOL,2006,2642,Neil,J,Enright,University of Melbourne,NA,Carlton,NA,Australia,2x,Correct,,
127,PLANTECOL,2006,2217,Linda,S,Olsvig-Whittaker,Israel Nature and National Parks Protection Authority,NA,NA,NA,Israel,spotcheck,Name and city wrong,Listed in Jerusalem,"Name as ""DL"""
129,PLANTECOL,2006,2896,Peter,NA,Poschlod,University of Regensburg,NA,Regensburg,NA,Germany,2x,Correct,,
131,PLANTECOL,2006,1029,Edward,W,Stiles,Rutgers University,NA,New Brunswick,New Jersey,United States,2x,Correct,,
132,PLANTECOL,2006,1043,Edward,TF,Witkowski,University of the Witwatersrand,NA,NA,NA,South Africa,2x,Missing City,Listed in Johannesburg,
135,PLANTECOL,2007,1676,Johannes,NA,Kollmann,The Royal Veterinary and Agricultural University,NA,Frederiksberg,NA,Denmark,spotcheck,Not listed for this year,,
136,PLANTECOL,2007,3431,Serge,NA,Payette,Universite Laval Quebec,NA,Quebec,Quebec,Canada,2x,Correct,,
141,PLANTECOL,2007,1040,Evan,NA,Weiher,University of Wisconsin-Eau Claire,Department of Biology,Eau Claire,NA,United States,spotcheck,"First name spelled wrong, its ""Ewan""",,
146,PLANTECOL,2009,376,Brian,J,Wilsey,Iowa State University,NA,NA,NA,United States,spotcheck,Missing city and state,"Listed in Ames, Iowa",
148,PLANTECOL,2010,2642,Neil,J,Enright,Murdoch University,School of Environmental Science,Murdoch,Western Australia,Australia,2x,Correct,,
150,PLANTECOL,2010,1766,Jeremy,NA,Midgley,University of Cape Town,NA,Rodenbosch,NA,South Africa,spotcheck,Correct,,
151,PLANTECOL,2010,2868,Peter,R,Minchin,Southern Illinois University,NA,Edwardsville,Illinois,United States,2x,Correct,,
155,PLANTECOL,2010,1261,Glenn,H,Stewart,New Zealand Research Centre for Urban Ecology,NA,Christchurch,NA,New Zealand,2x,Correct,,
157,PLANTECOL,2011,2128,Lori,A,Biederman,Iowa State University,NA,Ames,Iowa,United States,spotcheck,Correct,,
161,PLANTECOL,2011,1573,Jennifer,NA,Firn,CSIRO Sustainable Ecosystems,NA,St. Lucia,Queensland,Australia,2x,Correct,,
163,PLANTECOL,2011,3064,Ray,NA,Froend,Edith Cowan University,NA,Joondalup,Western Australia,Australia,spotcheck,Correct,,
164,PLANTECOL,2011,3341,Santiago,C,Gonzales-Martinez,USDA Forest Service,NA,Davis,California,United States,2x,Correct,,
169,PLANTECOL,2011,2213,Laszlo,NA,Nagy,EcoScience Scotland,NA,NA,NA,UK,spotcheck,Missing City,"Listed in Glasgow, Scotland",
174,PLANTECOL,2011,3875,Dick,NA,Williams,CISRO,Tropical Ecosystems,Darwin,Northern Territory,Australia,spotcheck,Correct,,
179,PLANTECOL,2012,1746,Joy,N,Mast,Carthage College,NA,NA,NA,United States,spotcheck,Missing city and state,"Listed in Kenosha, WI",
183,PLANTECOL,2012,1272,Glenda,M,Wardle,University of Sydney,NA,NA,NA,Australia,2x,Missing City and department ,listed in sydney,school of bio sci
185,PLANTECOL,2013,2014,Karen,NA,Harper,Dalhousie University,NA,Halifax,Nova Scotia,Canada,spotcheck,Correct,,
188,PLANTECOL,2013,515,Christopher,H,Lusk,The University of Waikato,NA,Hamilton,NA,New Zealand,2x,Correct,,
189,PLANTECOL,2013,1762,Joseph,P,Messina,Michigan State University,NA,Lansing,Michigan,United States,spotcheck,Correct,,
194,PLANTECOL,2014,2496,Martin,NA,Nunez,INIBIOMA,Laboratorio Ecotono,Bariloche,Rio Negro,Argentina,spotcheck,Correct,,
197,PLANTECOL,2014,2080,Katinka,NA,Ruthrof,Murdoch University,NA,Murdoch,Western Australia,Australia,spotcheck,Correct,,