JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
,1995,235,,Publications Committee,S.D. Albon,S,D,Albon,,,,,
JZ,1989,216,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1990,220,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1991,223,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1992,226,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1993,229,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1994,232,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1995,235,,Publications Committee,R.J. Berry,R,J,Berry,,,,,
JZ,1996,238,,Editorial Board,R.J. Berry,R,J,Berry,University of London,England,,,
JZ,1997,241,,Editorial Board,R.J. Berry,R,J,Berry,University of London,England,,,
JZ,1998,244,1,Editorial Board,R.J. Berry,R,J,Berry,University of London,England,,,
JZ,1999,247,1,Editorial Board,R.J. Berry,R,J,Berry,University of London,England,,,
JZ,2000,250,1,Editorial Board,R.J. Berry,R,J,Berry,University of London,England,,,
JZ,1989,216,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1990,220,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1991,223,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1992,226,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1993,229,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1994,232,,Publications Committee,W.N Bonner,W,N,Bonner,,,,,
JZ,1993,229,,Publications Committee,G.A. Boxshall,G,A,Boxshall,,,,,
JZ,1994,232,,Publications Committee,G.A. Boxshall,G,A,Boxshall,,,,,
JZ,1995,235,,Publications Committee,G.A. Boxshall,G,A,Boxshall,,,,,
JZ,1995,235,,Publications Committee,M.W. Bruford,M,W,Bruford,,,,,
JZ,1989,216,,Publications Committee,P.J. Butler,P,J,Butler,,,,,
JZ,1989,216,,Publications Committee,C.K. Catchpole,C,K,Catchpole,,,,,
JZ,1994,232,,Publications Committee,C.K. Catchpole,C,K,Catchpole,,,,,
JZ,1995,235,,Publications Committee,C.K. Catchpole,C,K,Catchpole,,,,,
JZ,1997,241,,Editorial Board,C.K. Catchpole,C,K,Catchpole,University of London,England,,,
JZ,1998,244,1,Editorial Board,C.K. Catchpole,C,K,Catchpole,University of London,England,,,
JZ,1999,247,1,Editorial Board,C.K. Catchpole,C,K,Catchpole,University of London,England,,,
JZ,2000,250,1,Editorial Board,C.K. Catchpole,C,K,Catchpole,University of London,England,,,
JZ,1989,216,,Publications Committee,J.E. Cave,J,E,Cave,,,,,
JZ,1990,220,,Publications Committee,J.E. Cave,J,E,Cave,,,,,
JZ,1991,223,,Publications Committee,A.J.E. Cave,A,JE,Cave,,,,,
JZ,1992,226,,Publications Committee,A.J.E. Cave,A,JE,Cave,,,,,
JZ,1993,229,,Publications Committee,A.J.E. Cave,A,JE,Cave,,,,,
JZ,1994,232,,Publications Committee,A.J.E. Cave,A,JE,Cave,,,,,
JZ,1995,235,,Publications Committee,A.J.E. Cave,A,JE,Cave,,,,,
JZ,1989,216,,Publications Committee,M.J. Coe,M,J,Coe,,,,,
JZ,1990,220,,Publications Committee,M.J. Coe,M,J,Coe,,,,,
JZ,1991,223,,Publications Committee,M.J. Coe,M,J,Coe,,,,,
JZ,1992,226,,Publications Committee,M.J. Coe,M,J,Coe,,,,,
JZ,2007,,1,Editorial Board,Steven Le Comber,Steven,Le,Comber,Univerity of London,England,,,
JZ,2009,,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
JZ,2010,,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
JZ,2011,,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
,2012,286,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
,2013,289,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
,2014,292,1,Reviews Editor,Steven Le Comber ,Steven,Le,Comber,University of London,England,M,,
JZ,1990,220,,Publications Committee,J.P. Croxall,J,P,Croxall,,,,,
JZ,1991,223,,Publications Committee,J.P. Croxall,J,P,Croxall,,,,,
JZ,1992,226,,Publications Committee,J.P. Croxall,J,P,Croxall,,,,,
JZ,1993,229,,Publications Committee,J.P. Croxall,J,P,Croxall,,,,,
JZ,1994,232,,Publications Committee,J.P. Croxall,J,P,Croxall,,,,,
JZ,1987,211,N/A,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1988,214,N/A,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1989,216,N/A,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1990,220,,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1991,223,,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1992,226,,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1993,229,,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1994,232,,Editor,Marcia A. Edwards,Marcia,A,Edwards,Zoological Society of London,England,,,
JZ,1996,238,,Editorial Board,R.W Elwood,R,W,Elwood,Queens University of Belfast,N. Ireland,,,
JZ,1997,241,,Editorial Board,R.W Elwood,R,W,Elwood,Queens University of Belfast,N. Ireland,,,
JZ,1998,244,1,Editorial Board,R.W Elwood,R,W,Elwood,Queens University of Belfast,N. Ireland,,,
JZ,1999,247,1,Editorial Board,R.W Elwood,R,W,Elwood,Queens University of Belfast,N. Ireland,,,
JZ,2000,250,1,Editorial Board,R.W Elwood,R,W,Elwood,Queens University of Belfast,N. Ireland,,,
JZ,1996,238,,Editorial Board,P.R. Evans,P,R,Evans,University of Durham,England,,,
JZ,1997,241,,Editorial Board,P.R. Evans,P,R,Evans,University of Durham,England,,,
JZ,1998,244,1,Editorial Board,P.R. Evans,P,R,Evans,University of Durham,England,,,
JZ,1999,247,1,Editorial Board,P.R. Evans,P,R,Evans,University of Durham,England,,,
JZ,2000,250,1,Editorial Board,P.R. Evans,P,R,Evans,University of Durham,England,,,
JZ,1989,216,,Publications Committee,A. A. Fincham,A,A,Fincham,,,,,
JZ,1990,220,,Publications Committee,A. A. Fincham,A,A,Fincham,,,,,
JZ,1991,223,,Publications Committee,A. A. Fincham,A,A,Fincham,,,,,
JZ,1992,226,,Publications Committee,A. A. Fincham,A,A,Fincham,,,,,
JZ,1996,238,,Editorial Board,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,1997,241,,Editorial Board,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,1998,244,1,Editorial Board,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,1999,247,1,Editorial Board,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2000,250,1,Editorial Board,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2001,253,1,Consultant Editors,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2002,256,1,Consultant Editors,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2003,259,1,Consultant Editors,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2005,265,1,Consultant Editors,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,2006,,1,Consultant Editors,T.F. Flannery,T,F,Flannery,Australian Museum,Australia,,,
JZ,1989,216,,Publications Committee,B.G. Gardiner,B,G,Gardiner,,,,,
JZ,1990,220,,Publications Committee,B.G. Gardiner,B,G,Gardiner,,,,,
JZ,1991,223,,Publications Committee,B.G. Gardiner,B,G,Gardiner,,,,,
JZ,1992,226,,Publications Committee,B.G. Gardiner,B,G,Gardiner,,,,,
JZ,1993,229,,Publications Committee,B.G. Gardiner,B,G,Gardiner,,,,,
JZ,2003,259,1,Editor,John L. Gittleman,John,L,Gittleman,University of Virginia,USA,M,,
JZ,2005,265,1,Editor,John L. Gittleman,John,L,Gittleman,University of Virginia,USA,M,,
JZ,2006,,1,Editor,John L. Gittleman,John,L,Gittleman,University of Virginia,USA,M,,
JZ,1996,238,,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1997,241,,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1998,244,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1999,247,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,2000,250,1,Editorial Board,P.H. Harvey,P,H,Harvey,University of Oxford,England,,,
JZ,1993,229,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1994,232,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1995,235,,Publications Committee,P.J. Herring,P,J,Herring,,,,,
JZ,1996,238,,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1997,241,,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1998,244,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,1999,247,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,2000,250,1,Editorial Board,R.R. Hofmann,R,R,Hofmann,IZW,Germany,,,
JZ,2002,256,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2003,259,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2005,265,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,2006,,1,Consultant Editors,W.C. Jordan,W,C,Jordan,Zoological Society of London,England,,,
JZ,1987,211,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,MM,McDonnell,,,U,,
JZ,1988,214,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1989,216,N/A,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,, ,,,
JZ,1990,220,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1991,223,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1992,226,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1993,229,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1994,232,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1995,235,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1996,238,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1997,241,,Assistant Editor,Unity M. M. McDonnell,Unity,M,McDonnell,,,,,
JZ,1989,216,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,1990,220,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,1991,223,,Publications Committee,J.B. Messenger,J,B,Messenger,,,,,
JZ,2001,253,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2002,256,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2003,259,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2005,265,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,2006,,1,Consultant Editors,M.G.L. Mills,M,GL,Mills,Kruger National Park,South Africa,,,
JZ,1989,216,,Publications Committee,J.D. Pye,J,D,Pye,,,,,
JZ,1990,220,,Publications Committee,J.D. Pye,J,D,Pye,,,,,
JZ,1990,220,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1991,223,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1992,226,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1993,229,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1994,232,,Publications Committee,P.S. Rainbow,P,S,Rainbow,,,,,
JZ,1997,241,,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1998,244,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1999,247,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,2000,250,1,Editorial Board,T.J. Roper,T,J,Roper,University of Sussex,England,,,
JZ,1996,238,,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1997,241,,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1998,244,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1999,247,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,2000,250,1,Editorial Board,J.D. Skinner,J,D,Skinner,University of Pretoria,South Africa,,,
JZ,1996,238,,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1997,241,,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1998,244,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1999,247,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,2000,250,1,Editorial Board,I.R. Swingland,I,R,Swingland,University of Kent,England,,,
JZ,1991,223,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1992,226,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1993,229,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1994,232,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,1995,235,,Publications Committee,R.C. Tinsley,R,C,Tinsley,,,,,
JZ,2001,253,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2002,256,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2003,259,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2005,265,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,2006,,1,Consultant Editors,P.A. Verrell,P,A,Verrell,Washington State University ,USA,,,
JZ,1999,247,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2000,250,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2001,253,1,Assistant Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2002,256,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2003,259,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2005,265,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2006,,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
