last_name,first_name,editor_id,n_id
abbot,patrick,2749,2
abbot,jessica,1430,2
abrams,peter,2750,2
abrams,marc,2263,2
adams,eldridge,927,4
adams,jean,1432,4
adams,dean,606,4
adams,mark,2264,4
adler,fredrick,1046,3
adler,lynn,2120,3
adler,peter,2752,3
agrawal,anurag,2,2
agrawal,aneil,3847,2
alfaro,rene,2970,2
alfaro,mike,2268,2
allen,l,2122,4
allen,mike,2269,4
allen,edith,929,4
allen,h,1283,4
anderson,irvin,1387,10
anderson,gregory,1146,10
anderson,bruce,240,10
anderson,james,1438,10
anderson,anthony,5,10
anderson,christopher,382,10
anderson,d,607,10
anderson,marti,2270,10
anderson,william,3707,10
anderson,ted,3951,10
arnold,dean,613,4
arnold,jonathan,1442,4
arnold,todd,3953,4
arnold,elizabeth,931,4
ashton,peter,2758,2
ashton,mark,2278,2
austen,douglas,614,2
austen,mel,2280,2
austin,mike,2281,3
austin,amy,9,3
austin,jane,3956,3
ayres,peter,2760,2
ayres,mathew,2283,2
baker,john,3879,6
baker,jeffrey,1446,6
baker,allan,3960,6
baker,richard,2976,6
baker,julia,3880,6
baker,william,3710,6
bakker,eduard,932,2
bakker,jan,1447,2
baldwin,ian,1389,2
baldwin,christian,388,2
ball,i,3963,3
ball,marilyn,2287,3
ball,james,1449,3
barbour,margaret,3917,2
barbour,michael,2289,2
barker,r,2978,4
barker,martin,2290,4
barker,david,616,4
barker,allen,12,4
barlow,nigel,2625,2
barlow,jos,1452,2
barrett,wilfredo,3966,2
barrett,spencer,3276,2
bauer,armand,13,3
bauer,philip,2764,3
bauer,silke,3277,3
beard,james,1457,3
beard,t,3513,3
beard,karen,1977,3
bell,michael,2293,2
bell,james,1458,2
bennett,jerry,1460,8
bennett,albert,16,8
bennett,david,624,8
bennett,peter,2766,8
bennett,nigel,2627,8
bennett,malcom,2294,8
bennett,joseph,3882,8
bennett,alison,3848,8
berg,ronald,2982,2
berg,matty,2297,2
berger,joel,1463,2
berger,uta,3663,2
berry,charles,396,4
berry,paul,2767,4
berry,pam,3927,4
berry,r,2983,4
blair,rb,2986,2
blair,john,1468,2
bowers,m,2306,2
bowers,glenn,1154,2
bradford,joe,1479,2
bradford,mike,2309,2
bradshaw,anthony,24,4
bradshaw,corey,403,4
bradshaw,richard,2994,4
bradshaw,william,3719,4
brewer,steve,3289,3
brewer,carol,404,3
brewer,j,1483,3
briggs,david,636,5
briggs,winslow,3720,5
briggs,j,1484,5
briggs,christin,4005,5
briggs,christopher,4006,5
brink,per,2772,2
brink,geoffrey,1156,2
brown,wesley,3721,11
brown,james,1486,11
brown,bradford,250,11
brown,sandra,3290,11
brown,nick,2631,11
brown,daniel,637,11
brown,joel,3883,11
brown,jonathan,3884,11
brown,mark,2312,11
brown,justin,4010,11
brown,charles,408,11
bryan,rorke,2999,2
bryan,c,410,2
buckley,pa,2774,2
buckley,yvonne,3829,2
bullock,don,638,3
bullock,james,1490,3
bullock,david,3864,3
burger,alan,4016,2
burger,reinhard,3004,2
burke,ingrid,1393,3
burke,terry,3517,3
burke,ann,28,3
burt,austin,29,2
burt,edward,4017,2
bustamante,mercedes,2319,2
bustamante,javier,1494,2
butler,david,640,4
butler,twain,3518,4
butler,simon,3292,4
butler,luke,4020,4
byers,john,1495,2
byers,bruce,4022,2
cabrera,miguel,2321,2
cabrera,sergio,4024,2
campbell,allan,31,2
campbell,diane,642,2
cao,kun-fang,1988,4
cao,weixing,3722,4
cao,xiaofeng,3825,4
cao,yong,3830,4
carr,a,32,3
carr,patrick,2781,3
carr,mark,2328,3
carroll,c,3855,4
carroll,sean,3294,4
carroll,scott,3936,4
carroll,carlos,417,4
case,ted,3521,2
case,andrea,33,2
casey,ashley,4029,2
casey,timothy,3522,2
chapman,russell,3015,5
chapman,colin,421,5
chapman,ben,253,5
chapman,daniel,647,5
chapman,samantha,3298,5
charlesworth,deborah,648,2
charlesworth,brian,254,2
chen,yong-lin,3832,6
chen,rongjun,3017,6
chen,charles,3856,6
chen,chengci,422,6
chen,jiquan,3885,6
chen,jin,1508,6
christie,william,3724,2
christie,john,1510,2
clark,colin,424,10
clark,richard,3019,10
clark,andrew,40,10
clark,david,650,10
clark,james,1512,10
clark,robert,4041,10
clark,j,3887,10
clark,douglas,3865,10
clark,christopher,4040,10
clark,deborah,3866,10
clarke,ralph,3020,3
clarke,andrew,41,3
clarke,peter,2783,3
clay,patricia,2784,4
clay,david,651,4
clay,sharon,3301,4
clay,keith,1991,4
clutton-brock,tim,3525,2
clutton-brock,juliet,1515,2
collins,m,2334,3
collins,james,1517,3
collins,scott,3302,3
colwell,robert,3022,2
colwell,mark,4045,2
connolly,john,1519,3
connolly,r,4046,3
connolly,sean,3305,3
cooper,edwin,949,3
cooper,j,1521,3
cooper,robert,4047,3
costello,j,4050,2
costello,mark,2336,2
cox,c,426,5
cox,william,3727,5
cox,sean,3307,5
cox,jim,4053,5
cox,george,1164,5
craig,john,1526,2
craig,tim,3528,2
crozier,rossiter,3027,2
crozier,carl,427,2
curry,r,3031,3
curry,robert,4056,3
curry,claire,4055,3
dale,j,1535,4
dale,michael,2340,4
dale,virginia,3678,4
dale,james,4059,4
daszak,richard,3035,2
daszak,peter,2791,2
davidson,diane,662,2
davidson,eric,4062,2
davies,n,2638,2
davies,m,2342,2
davis,b,260,6
davis,frank,1064,6
davis,jessica,1537,6
davis,todd,3531,6
davis,vince,3679,6
davis,amy,4063,6
dawson,verdel,3680,5
dawson,todd,3532,5
dawson,alistair,51,5
dawson,russell,4064,5
dawson,michael,2343,5
day,w,3730,2
day,troy,3533,2
dean,thomas,3534,2
dean,antony,52,2
devries,dennis,667,2
devries,philip,2794,2
diamond,jared,1545,2
diamond,sarah,3314,2
dick,warren,3732,2
dick,christopher,434,2
dobson,andrew,58,2
dobson,f,1066,2
doherty,peter,2796,2
doherty,paul,4074,2
donovan,therese,3538,2
donovan,lisa,2141,2
drake,bert,263,2
drake,donald,672,2
duffy,meghan,2354,2
duffy,j,1551,2
dunn,peter,2798,2
dunn,rob,3045,2
dunning,john,1553,2
dunning,dennis,676,2
dutoit,lindsey,2142,2
dutoit,johan,1554,2
dyer,lee,2143,5
dyer,alan,60,5
dyer,kelly,1999,5
dyer,andrew,3849,5
dyer,rodney,3046,5
eckert,donald,678,2
eckert,christopher,440,2
edwards,ron,3048,5
edwards,marcia,3918,5
edwards,scott,3937,5
edwards,steven,3319,5
edwards,mary,2357,5
elser,allen,64,2
elser,james,1560,2
emerson,sharon,3322,2
emerson,brent,266,2
ernst,carl,443,2
ernst,susan,3323,2
estrada,m,4099,2
estrada,alejandro,66,2
evans,p,2802,4
evans,alistair,67,4
evans,edward,962,4
evans,r,3055,4
feder,martin,2362,2
feder,jeffrey,1569,2
fenchel,t,4107,2
fenchel,tom,3544,2
fiedler,konrad,2001,2
fiedler,peggy,2805,2
field,chris,447,3
field,richard,3057,3
field,katie,2002,3
fischer,markus,2369,2
fischer,klaus,2003,2
fisher,daniel,3867,5
fisher,richard,3059,5
fisher,c,4109,5
fisher,dwight,686,5
fisher,s,3329,5
fleming,theodore,3546,2
fleming,p,2807,2
foster,david,690,3
foster,mercedes,2374,3
foster,bryan,273,3
fowler,anthony,78,2
fowler,norma,2646,2
fox,john,1576,6
fox,charles,452,6
fox,jeremy,3888,6
fox,laurel,2148,6
fox,barry,274,6
fox,gordon,1181,6
franco,augusto,80,2
franco,miguel,2376,2
frank,peter,2809,2
frank,steven,3330,2
franklin,jerry,1580,4
franklin,janet,3889,4
franklin,donald,692,4
franklin,craig,453,4
friedman,william,3741,2
friedman,matt,2379,2
fry,james,3891,2
fry,jack,1584,2
fuller,rebecca,3065,2
fuller,richard,3930,2
fulton,david,695,2
fulton,john,1586,2
funk,fritz,1068,2
funk,daniel,696,2
gardner,r,3067,4
gardner,andy,81,4
gardner,toby,3551,4
gardner,david,699,4
gates,john,1592,2
gates,roger,3068,2
gerber,leah,2152,2
gerber,monica,4124,2
gibb,john,1595,2
gibb,heloise,1300,2
gibson,david,703,2
gibson,greg,1183,2
gilbert,john,1596,2
gilbert,gregory,1184,2
gill,jennifer,1597,3
gill,andrew,84,3
gill,sharon,4126,3
grace,james,1604,2
grace,john,3893,2
graham,p,2816,6
graham,linda,2159,6
graham,sean,3342,6
graham,catherine,466,6
graham,j,1605,6
graham,michael,2389,6
gray,j,4131,2
gray,alan,89,2
green,rhys,3075,3
green,allan,90,3
green,david,709,3
greenberg,cathryn,467,2
greenberg,russell,3076,2
greene,erick,4132,2
greene,harry,1304,2
griffin,david,711,2
griffin,kevin,2010,2
griffith,stephen,3343,2
griffith,simon,3938,2
grigg,r,4133,2
grigg,gordon,1188,2
grimm,volker,3684,2
grimm,nancy,2649,2
griswold,bernard,286,2
griswold,carolyn,468,2
gross,katherine,3915,3
gross,kevin,2011,3
gross,louis,2160,3
grubb,peter,2818,2
grubb,thomas,4136,2
gurney,bill,287,2
gurney,w,3743,2
haase,robert,3080,2
haase,g,1192,2
hahn,tom,4142,4
hahn,d,4140,4
hahn,thomas,4141,4
hahn,matthew,2393,4
hale,r,3082,3
hale,stephen,3345,3
hale,amanda,4144,3
hall,john,3894,10
hall,charles,473,10
hall,james,1616,10
hall,steve,3939,10
hall,pamela,2821,10
hall,robert,3083,10
hall,linnea,4146,10
hall,spencer,3346,10
hall,david,3868,10
hall,donald,715,10
halle,francis,1077,2
halle,stefan,3347,2
handel,steven,3348,3
handel,colleen,4147,3
handel,collen,4148,3
hansen,andrew,96,6
hansen,michael,2395,6
hansen,thomas,3561,6
hansen,soren,3350,6
hansen,lara,2163,6
hansen,dennis,716,6
hanson,paul,4149,2
hanson,james,1622,2
hansson,lennart,2162,2
hansson,lars-anders,3916,2
hare,frederick,1078,3
hare,j,1623,3
hare,matt,2396,3
harmon,mark,2397,2
harmon,luke,2166,2
harms,kyle,2013,2
harms,tyler,4150,2
harper,l,2167,3
harper,john,1624,3
harper,karen,2014,3
harrison,carolyn,475,5
harrison,richard,3084,5
harrison,susan,3351,5
harrison,m,2399,5
harrison,maria,2398,5
hart,r,3085,3
hart,stephen,3352,3
hart,mike,2400,3
harvey,paul,2823,2
harvey,chris,477,2
harwood,j,1626,2
harwood,james,1625,2
havel,j,3895,2
havel,john,1628,2
hawkins,stephen,3355,2
hawkins,bradford,288,2
hayes,daniel,719,2
hayes,jack,1629,2
hayward,robert,3087,2
hayward,mattew,2404,2
he,fangliang,1079,2
he,h,1306,2
heard,stephen,3356,3
heard,geoff,1197,3
heard,matt,2406,3
henry,william,3747,2
henry,hugh,1310,2
hester,alison,104,2
hester,susan,3357,2
hewitt,godfrey,1202,2
hewitt,david,721,2
hill,mark,2410,4
hill,david,722,4
hill,gary,1203,4
hill,russell,3090,4
hoffmann,l,2173,3
hoffmann,william,3748,3
hoffmann,ary,106,3
holbrook,michele,2412,2
holbrook,sally,3362,2
holland,peter,2832,2
holland,j,1640,2
holmes,richard,3094,2
holmes,elizabeth,980,2
honeycutt,rodney,3096,2
honeycutt,c,482,2
hopkins,b,289,3
hopkins,t,4165,3
hopkins,william,3750,3
horton,robert,3099,2
horton,gregg,1205,2
howard,richard,3100,2
howard,daniel,729,2
hu,yuegao,3834,2
hu,feng,1083,2
hughes,janice,1645,6
hughes,roger,3931,6
hughes,nicholas,2653,6
hughes,robert,3102,6
hughes,kimberly,2017,6
hughes,alice,109,6
humphries,christopher,485,2
humphries,murray,2416,2
hunt,kevin,2018,4
hunt,e,981,4
hunt,gene,1206,4
hunt,john,1647,4
hutchings,michael,2419,2
hutchings,jeffrey,1648,2
irwin,rebecca,3104,2
irwin,darren,732,2
jackson,jeremy,1652,4
jackson,robert,3105,4
jackson,sue,3940,4
jackson,stephen,3365,4
jacobson,susan,3367,5
jacobson,george,1210,5
jacobson,lawrence,2179,5
jacobson,peter,2837,5
jacobson,richard,3106,5
jaeger,william,3753,2
jaeger,j,1653,2
james,frances,1085,3
james,helen,4171,3
james,jeremy,1655,3
janzen,dan,735,2
janzen,frederic,1086,2
jenkins,robert,3109,2
jenkins,stephen,3369,2
jiang,qingzhen,2962,2
jiang,zhi-gang,3845,2
joern,brad,297,2
joern,anthony,112,2
johnson,richard,3111,14
johnson,gordon,1212,14
johnson,douglas,741,14
johnson,barry,298,14
johnson,c,492,14
johnson,brett,3854,14
johnson,donn,3869,14
johnson,lucinda,2181,14
johnson,kevin,4176,14
johnson,jane,1657,14
johnson,christopher,3857,14
johnson,steven,3370,14
johnson,marc,2421,14
johnson,e,983,14
johnston,richard,3112,3
johnston,tom,3572,3
johnston,mark,2422,3
jones,david,742,11
jones,charles,493,11
jones,t,3573,11
jones,clive,3859,11
jones,hefin,4178,11
jones,michael,2423,11
jones,robert,3113,11
jones,jason,4180,11
jones,julia,1659,11
jones,james,3896,11
jones,cynthia,3858,11
jordan,david,743,2
jordan,w,3755,2
kalisz,paul,2843,2
kalisz,susan,3374,2
keeley,ernest,986,2
keeley,jon,1663,2
kelly,j,3897,4
kelly,john,1664,4
kelly,marcella,2431,4
kelly,jeff,4183,4
keough,m,4185,2
keough,michael,2432,2
kephart,kevin,2027,2
kephart,susan,3379,2
kirkpatrick,mark,2435,2
kirkpatrick,jamie,1670,2
kissling,daniel,4190,2
kissling,w,3758,2
klein,alexandra-maria,123,2
klein,carissa,497,2
knick,steve,4194,2
knick,steven,4195,2
knight,richard,3121,3
knight,tiffany,3581,3
knight,dennis,749,3
koenig,walter,3760,2
koenig,richard,3122,2
kohn,josh,1675,2
kohn,deborah,750,2
krauss,siegy,3382,2
krauss,j,1682,2
krebs,c,500,2
krebs,j,1683,2
kumar,b,305,3
kumar,kuldip,2036,3
kumar,chitranjan,502,3
lamb,john,1690,2
lamb,david,754,2
larson,allan,133,2
larson,katherine,2038,2
lauer,david,756,2
lauer,joseph,1700,2
law,richard,3129,2
law,beverly,307,2
lawler,j,1701,2
lawler,sharon,3386,2
lawton,marcy,2443,3
lawton,j,1702,3
lawton,robert,3130,3
