JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,,,,,,,,,,,,,,
AUK,1990,TBD,bruce,m,beehler,,,,,,,,,,,,,,,,
AUK,1993,TBD,bruce,m,beehler,,,,,,,,,,,,,,,,
AUK,2014,TBD,bonnie,s,bowen,,,,,,,,,,,,,,,,
AUK,2003,TBD,rebecca,m,braucht,,,,,,,,,,,,,,,,
AUK,2004,TBD,rebecca,m,braucht,,,,,,,,,,,,,,,,
AUK,2005,TBD,rebecca,m,braucht edmondson,,,,,,,,,,,,,,,,
AUK,2014,TBD,carlos,d,cadena ordonez,,,,,,,,,,,,,,,,
AUK,2017,TBD,carlos,d,cadena ordonez,,,,,,,,,,,,,,,,
AUK,2004,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
AUK,2018,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
AUK,2014,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
AUK,2015,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
AUK,2016,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
AUK,2018,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
AUK,2014,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
AUK,2017,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
AUK,2014,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
AUK,2018,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
AUK,1986,TBD,m,ross,lein,,,,,,,,,,,,,,,,
AUK,1989,TBD,m,ross,lein,,,,,,,,,,,,,,,,
AUK,1987,TBD,m,ross,len,,,,,,,,,,,,,,,,
AUK,1990,TBD,m,ross,len,,,,,,,,,,,,,,,,
AUK,1985,TBD,fred,e,lohrer,,,,,,,,,,,,,,,,
AUK,1990,TBD,fred,e,lohrer,,,,,,,,,,,,,,,,
AUK,1985,TBD,j,f,lynch,,,,,,,,,,,,,,,,
AUK,1987,TBD,j,f,lynch,,,,,,,,,,,,,,,,
AUK,2014,TBD,lucio,r,malizia,,,,,,,,,,,,,,,,
AUK,2018,TBD,lucio,r,malizia,,,,,,,,,,,,,,,,
AUK,1996,TBD,thomas,e,martin,,,,,,,,,,,,,,,,
AUK,1985,TBD,d,NA,mock,,,,,,,,,,,,,,,,
AUK,1987,TBD,d,NA,mock,,,,,,,,,,,,,,,,
AUK,2014,TBD,karl,s,mokross,,,,,,,,,,,,,,,,
AUK,2018,TBD,karl,s,mokross,,,,,,,,,,,,,,,,
AUK,1985,TBD,k elizabeth,k,pacala,,,,,,,,,,,,,,,,
AUK,1988,TBD,k elizabeth,k,pacala,,,,,,,,,,,,,,,,
AUK,1986,TBD,r,b,payne,,,,,,,,,,,,,,,,
AUK,1987,TBD,r,b,payne,,,,,,,,,,,,,,,,
AUK,2006,TBD,mark,c,penrose,,,,,,,,,,,,,,,,
AUK,2014,TBD,mark,c,penrose,,,,,,,,,,,,,,,,
AUK,2004,TBD,bradley,r,plummer,,,,,,,,,,,,,,,,
AUK,2014,TBD,thalia,NA,sachtleben,,,,,,,,,,,,,,,,
AUK,2018,TBD,thalia,NA,sachtleben,,,,,,,,,,,,,,,,
AUK,2015,TBD,cesar,NA,sanchez,,,,,,,,,,,,,,,,
AUK,2014,TBD,cesar,NA,sanhez,,,,,,,,,,,,,,,,
AUK,2006,TBD,noreen,l,sealy,,,,,,,,,,,,,,,,
AUK,2009,TBD,noreen,l,sealy,,,,,,,,,,,,,,,,
AUK,2014,TBD,helene,NA,senechal,,,,,,,,,,,,,,,,
AUK,2018,TBD,helene,NA,senechal,,,,,,,,,,,,,,,,
AUK,1985,TBD,william,e.,southern,,,,,,,,,,,,,,,,
AUK,1991,TBD,john,l,trapp,,,,,,,,,,,,,,,,
AUK,1993,TBD,john,l,trapp,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,fidelis,NA,atuo,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,julian,NA,avery,,,,,,,,,,,,,,,,
CONDOR,1999,TBD,jeanette,NA,bider,,,,,,,,,,,,,,,,
CONDOR,2000,TBD,jeanette,NA,bider,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,brian,NA,bielfelt,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,brian,NA,bielfelt,,,,,,,,,,,,,,,,
CONDOR,1985,TBD,charles,r,blem,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,bonnie,s,bowen,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,christin,w,briggs,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,christopher,w,briggs,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,sergio,NA,cabrera,,,,,,,,,,,,,,,,
CONDOR,2002,TBD,daniel,NA,cadena,,,,,,,,,,,,,,,,
CONDOR,2007,TBD,daniel,NA,cadena,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,ashley,NA,casey,,,,,,,,,,,,,,,,
CONDOR,1999,TBD,don,NA,catanzaro,,,,,,,,,,,,,,,,
CONDOR,2000,TBD,don,NA,catanzaro,,,,,,,,,,,,,,,,
CONDOR,1986,TBD,joanne,NA,chandler,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,scott,j,chiavacci,,,,,,,,,,,,,,,,
CONDOR,2002,TBD,cintia,NA,cornelius,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,cintia,NA,cornelius,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,andrea,NA,countina,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,claire,m,curry,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,anthony,c,dalismo,,,,,,,,,,,,,,,,
CONDOR,2001,TBD,david,s,dobkin,,,,,,,,,,,,,,,,
CONDOR,2007,TBD,david,s,dobkin,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,paul,f,doherty,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
CONDOR,2015,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
CONDOR,2016,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
CONDOR,2017,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,joseph,j,fontaine,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,joseph,j,fontaine,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,blake,NA,grisham,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,blake,NA,grisham,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,tyler,m,harms,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,tyler,m,harms,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,david,NA,hille,,,,,,,,,,,,,,,,
CONDOR,1991,TBD,annette,c,keeler,,,,,,,,,,,,,,,,
CONDOR,1985,TBD,michael,d,kern,,,,,,,,,,,,,,,,
CONDOR,1996,3760,walter,d,koenig,,,,,,,,,,,,,,,,
CONDOR,2000,3760,walter,d,koenig,,,,,,,,,,,,,,,,
CONDOR,2001,TBD,barbara,NA,kus,,,,,,,,,,,,,,,,
CONDOR,2005,TBD,barbara,NA,kus,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,diane,v,landoll,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,diane,v,landoll,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,kathryn,m,languin,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,jessica,NA,laskowski,,,,,,,,,,,,,,,,
CONDOR,1985,2443,marcy,f,lawton,,,,,,,,,,,,,,,,
CONDOR,1990,2443,marcy,f,lawton,,,,,,,,,,,,,,,,
CONDOR,2002,TBD,lucio,r,malizia,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,lucio,r,malizia,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,kristen,NA,martin,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,karl,s,mokross,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,karl,s,mokross,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,adrian,NA,monroe,,,,,,,,,,,,,,,,
CONDOR,1986,TBD,martin,l,morton,,,,,,,,,,,,,,,,
CONDOR,1990,TBD,martin,l,morton,,,,,,,,,,,,,,,,
CONDOR,1999,TBD,laura,NA,nagy,,,,,,,,,,,,,,,,
CONDOR,2000,TBD,laura,NA,nagy,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,jennifer,c,owen,,,,,,,,,,,,,,,,
CONDOR,2007,TBD,michael,a,pattern,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,michael,a,pattern,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,mark,c,penrose,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,mario,NA,pesendorfer,,,,,,,,,,,,,,,,
CONDOR,1992,TBD,raymond,NA,pierotti,,,,,,,,,,,,,,,,
CONDOR,1999,TBD,mike,NA,powers,,,,,,,,,,,,,,,,
CONDOR,2000,TBD,mike,NA,powers,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,thalia,NA,sachtleben,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,thalia,NA,sachtleben,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,cesar,NA,sanchez,,,,,,,,,,,,,,,,
CONDOR,2014,TBD,helene,NA,senechal,,,,,,,,,,,,,,,,
CONDOR,2018,TBD,helene,NA,senechal,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,ryan,NA,shipley,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,ryan,NA,shipley,,,,,,,,,,,,,,,,
CONDOR,1996,TBD,christina,j,slager,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,dave,NA,slager,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,dave,NA,slager,,,,,,,,,,,,,,,,
CONDOR,1985,3907,james,n,smith,,,,,,,,,,,,,,,,
CONDOR,1996,2094,kimberly,g,smith,,,,,,,,,,,,,,,,
CONDOR,2000,2094,kimberly,g,smith,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,brenda,d,smith pattern,,,,,,,,,,,,,,,,
CONDOR,1987,TBD,gilian,s,stephens,,,,,,,,,,,,,,,,
CONDOR,1990,TBD,gilian,s,stephens,,,,,,,,,,,,,,,,
CONDOR,1985,TBD,peter,NA,stettenheim,,,,,,,,,,,,,,,,
CONDOR,2014,2928,philip,c,stouffer,,,,,,,,,,,,,,,,
CONDOR,2006,TBD,david,l,swanson,,,,,,,,,,,,,,,,
CONDOR,2007,TBD,david,l,swanson,,,,,,,,,,,,,,,,
CONDOR,2012,TBD,ryan,NA,terrill,,,,,,,,,,,,,,,,
CONDOR,1999,TBD,wayne,NA,thogmartin,,,,,,,,,,,,,,,,
CONDOR,2000,TBD,wayne,NA,thogmartin,,,,,,,,,,,,,,,,
CONDOR,1993,TBD,christopher,w,thompson,,,,,,,,,,,,,,,,
CONDOR,1995,TBD,christopher,w,thompson,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,katerina,NA,tvardikova,,,,,,,,,,,,,,,,
CONDOR,1991,TBD,glenn,e,walsberg,,,,,,,,,,,,,,,,
CONDOR,1995,TBD,glenn,e,walsberg,,,,,,,,,,,,,,,,
CONDOR,1985,TBD,nancy,NA,withington,,,,,,,,,,,,,,,,
CONDOR,2013,TBD,stephanie,NA,wright,,,,,,,,,,,,,,,,
GCB,1995,2287,marilyn,NA,ball,,,,,,,,,,,,,,,,
GCB,2007,2287,marilyn,NA,ball,,,,,,,,,,,,,,,,
GCB,1995,1052,fakhri,NA,bazzaz,,,,,,,,,,,,,,,,
GCB,2003,1052,fakhri,NA,bazzaz,,,,,,,,,,,,,,,,
GCB,1995,TBD,max,NA,beran,,,,,,,,,,,,,,,,
GCB,2001,TBD,max,NA,beran,,,,,,,,,,,,,,,,
GCB,1995,TBD,tom,h,blackburn,,,,,,,,,,,,,,,,
GCB,2007,TBD,tom,h,blackburn,,,,,,,,,,,,,,,,
GCB,1995,TBD,bill,NA,block,,,,,,,,,,,,,,,,
GCB,2002,TBD,bill,NA,block,,,,,,,,,,,,,,,,
GCB,1995,TBD,gordan,NA,bonan,,,,,,,,,,,,,,,,
GCB,2007,TBD,gordan,NA,bonan,,,,,,,,,,,,,,,,
GCB,1995,3290,sandra,NA,brown,,,,,,,,,,,,,,,,
GCB,2007,3290,sandra,NA,brown,,,,,,,,,,,,,,,,
GCB,1995,TBD,doug,NA,capone,,,,,,,,,,,,,,,,
GCB,2007,TBD,doug,NA,capone,,,,,,,,,,,,,,,,
GCB,1995,TBD,bruce,e,chalker,,,,,,,,,,,,,,,,
GCB,2007,TBD,bruce,e,chalker,,,,,,,,,,,,,,,,
GCB,1995,1512,james,s,clark,,,,,,,,,,,,,,,,
GCB,2007,1512,james,s,clark,,,,,,,,,,,,,,,,
GCB,1995,TBD,roger,c,dahlman,,,,,,,,,,,,,,,,
GCB,2007,TBD,roger,c,dahlman,,,,,,,,,,,,,,,,
GCB,1995,263,bert,g,drake,,,,,,,,,,,,,,,,
GCB,2007,263,bert,g,drake,,,,,,,,,,,,,,,,
GCB,1996,TBD,zvy,NA,dubinsky,,,,,,,,,,,,,,,,
GCB,2007,TBD,zvy,NA,dubinsky,,,,,,,,,,,,,,,,
GCB,1995,TBD,inez,NA,fung,,,,,,,,,,,,,,,,
GCB,2003,TBD,inez,NA,fung,,,,,,,,,,,,,,,,
GCB,1995,1398,ilkka,NA,hanski,,,,,,,,,,,,,,,,
GCB,2007,1398,ilkka,NA,hanski,,,,,,,,,,,,,,,,
GCB,1995,100,ann,NA,henderson-sellers,,,,,,,,,,,,,,,,
GCB,2007,100,ann,NA,henderson-sellers,,,,,,,,,,,,,,,,
GCB,1995,3566,tadaki,NA,hirose,,,,,,,,,,,,,,,,
GCB,2007,3566,tadaki,NA,hirose,,,,,,,,,,,,,,,,
GCB,1995,TBD,patrick,NA,holligan,,,,,,,,,,,,,,,,
GCB,2007,TBD,patrick,NA,holligan,,,,,,,,,,,,,,,,
GCB,2002,2840,paul,NA,jarvis,,,,,,,,,,,,,,,,
GCB,2007,2840,paul,NA,jarvis,,,,,,,,,,,,,,,,
GCB,1995,TBD,r,l,jefferies,,,,,,,,,,,,,,,,
GCB,2007,TBD,r,l,jefferies,,,,,,,,,,,,,,,,
GCB,1995,2845,peter,NA,kareiva,,,,,,,,,,,,,,,,
GCB,2003,2845,peter,NA,kareiva,,,,,,,,,,,,,,,,
GCB,1995,302,bruce,a,kimball,,,,,,,,,,,,,,,,
GCB,2007,302,bruce,NA,kimball,,,,,,,,,,,,,,,,
GCB,1995,TBD,roger,NA,knowles,,,,,,,,,,,,,,,,
GCB,2007,TBD,roger,NA,knowles,,,,,,,,,,,,,,,,
GCB,2002,307,beverly,e,law,,,,,,,,,,,,,,,,
GCB,1995,1711,jeffrey,NA,levinton,,,,,,,,,,,,,,,,
GCB,2007,1711,jeffrey,NA,levinton,,,,,,,,,,,,,,,,
GCB,1999,1719,jon,NA,lloyd,,,,,,,,,,,,,,,,
GCB,2007,1719,jon,NA,lloyd,,,,,,,,,,,,,,,,
GCB,1995,2864,pamela,NA,matson,,,,,,,,,,,,,,,,
GCB,2007,2864,pamela,NA,matson,,,,,,,,,,,,,,,,
GCB,1997,TBD,franco,NA,miglietta,,,,,,,,,,,,,,,,
GCB,2007,TBD,franco,NA,miglietta,,,,,,,,,,,,,,,,
GCB,1995,TBD,hal,NA,mooney,,,,,,,,,,,,,,,,
GCB,2003,TBD,hal,NA,mooney,,,,,,,,,,,,,,,,
GCB,1995,TBD,marianne,NA,mousseau,,,,,,,,,,,,,,,,
GCB,1999,TBD,marianne,NA,mousseau,,,,,,,,,,,,,,,,
GCB,1995,TBD,jc,NA,murrell,,,,,,,,,,,,,,,,
GCB,2007,TBD,jc,NA,murrell,,,,,,,,,,,,,,,,
GCB,1997,TBD,maria,NA,piedade,,,,,,,,,,,,,,,,
GCB,2007,TBD,maria,NA,piedade,,,,,,,,,,,,,,,,
GCB,1995,1354,hugo,NA,rogers,,,,,,,,,,,,,,,,
GCB,2007,1354,hugo,NA,rogers,,,,,,,,,,,,,,,,
GCB,1996,2737,osvaldo,NA,sala,,,,,,,,,,,,,,,,
GCB,2002,2737,osvaldo,NA,sala,,,,,,,,,,,,,,,,
GCB,1996,TBD,david,NA,schimel,,,,,,,,,,,,,,,,
GCB,2007,TBD,david,NA,schimel,,,,,,,,,,,,,,,,
GCB,1996,3794,william,NA,schlesinger,,,,,,,,,,,,,,,,
GCB,1999,3794,william,NA,schlesinger,,,,,,,,,,,,,,,,
GCB,1996,TBD,robert,NA,scholes,,,,,,,,,,,,,,,,
GCB,2007,TBD,robert,NA,scholes,,,,,,,,,,,,,,,,
GCB,1996,TBD,hank,h,schugart,,,,,,,,,,,,,,,,
GCB,2007,TBD,hank,h,schugart,,,,,,,,,,,,,,,,
GCB,1996,TBD,e-d,NA,schulze,,,,,,,,,,,,,,,,
GCB,2007,TBD,e-d,NA,schulze,,,,,,,,,,,,,,,,
GCB,1996,TBD,ted,NA,smayda,,,,,,,,,,,,,,,,
GCB,2007,TBD,ted,NA,smayda,,,,,,,,,,,,,,,,
GCB,1996,TBD,keith,NA,smith,,,,,,,,,,,,,,,,
GCB,2007,TBD,keith,NA,smith,,,,,,,,,,,,,,,,
GCB,1996,TBD,nigel,e,stork,,,,,,,,,,,,,,,,
GCB,2007,TBD,nigel,e,stork,,,,,,,,,,,,,,,,
GCB,1996,TBD,masayuki,m,takahashi,,,,,,,,,,,,,,,,
GCB,2007,TBD,masayuki,m,takahashi,,,,,,,,,,,,,,,,
GCB,1996,TBD,max,NA,tilzer,,,,,,,,,,,,,,,,
GCB,2007,TBD,max,NA,tilzer,,,,,,,,,,,,,,,,
GCB,1997,TBD,riccardo,NA,valentini,,,,,,,,,,,,,,,,
GCB,2007,TBD,riccardo,NA,valentini,,,,,,,,,,,,,,,,
GCB,1996,TBD,bess,b,ward,,,,,,,,,,,,,,,,
GCB,2007,TBD,bess,b,ward,,,,,,,,,,,,,,,,
GCB,1996,TBD,j,b,whitaker,,,,,,,,,,,,,,,,
GCB,2007,TBD,j,b,whitaker,,,,,,,,,,,,,,,,
GCB,1996,1144,f,ian,woodward,,,,,,,,,,,,,,,,
GCB,2007,1144,f,ian,woodward,,,,,,,,,,,,,,,,
JAPE,1985,1521,j,p,cooper,,,,,,,,,,,,,,,,
JAPE,1987,1521,j,p,cooper,,,,,,,,,,,,,,,,
JECOL,1985,3874,d,a,williams,,,,,,,,,,,,,,,,
JECOL,1990,3874,d,a,williams,,,,,,,,,,,,,,,,
JZOOL,1989,384,c,NA,arme,,,,,,,,,,,,,,,,
JZOOL,1990,384,c,NA,arme,,,,,,,,,,,,,,,,
JZOOL,2009,2763,p,NA,bateman,,,,,,,,,,,,,,,,
JZOOL,2014,2763,p,NA,bateman,,,,,,,,,,,,,,,,
JZOOL,2008,2981,robert,NA,beason,,,,,,,,,,,,,,,,
JZOOL,2013,2981,robert,NA,beason,,,,,,,,,,,,,,,,
JZOOL,1989,2983,r,j,berry,,,,,,,,,,,,,,,,
JZOOL,1995,2983,r,j,berry,,,,,,,,,,,,,,,,
JZOOL,2013,1466,j,NA,bielby,,,,,,,,,,,,,,,,
JZOOL,2014,1466,j,NA,bielby,,,,,,,,,,,,,,,,
JZOOL,1989,3717,w,n,bonner,,,,,,,,,,,,,,,,
JZOOL,1994,3717,w,n,bonner,,,,,,,,,,,,,,,,
JZOOL,1993,1155,g,a,boxshall,,,,,,,,,,,,,,,,
JZOOL,1995,1155,g,a,boxshall,,,,,,,,,,,,,,,,
JZOOL,2011,939,e,NA,briefer,,,,,,,,,,,,,,,,
JZOOL,2014,939,e,NA,briefer,,,,,,,,,,,,,,,,
JZOOL,1995,2313,m,w,bruford,,,,,,,,,,,,,,,,
JZOOL,1989,2777,p,j,butler,,,,,,,,,,,,,,,,
JZOOL,1989,419,c,k,catchpole,,,,,,,,,,,,,,,,
JZOOL,1995,419,c,k,catchpole,,,,,,,,,,,,,,,,
JZOOL,1989,35,a,je,cave,,,,,,,,,,,,,,,,
JZOOL,1995,35,a,je,cave,,,,,,,,,,,,,,,,
JZOOL,1989,TBD,j,e,cave,,,,,,,,,,,,,,,,
JZOOL,1990,TBD,j,e,cave,,,,,,,,,,,,,,,,
JZOOL,2000,1515,juliet,NA,clutton-brock,,,,,,,,,,,,,,,,
JZOOL,2001,1515,juliet,NA,clutton-brock,,,,,,,,,,,,,,,,
JZOOL,1989,2332,m,j,coe,,,,,,,,,,,,,,,,
JZOOL,1992,2332,m,j,coe,,,,,,,,,,,,,,,,
JZOOL,2011,664,d,NA,dechmann,,,,,,,,,,,,,,,,
JZOOL,2014,664,d,NA,dechmann,,,,,,,,,,,,,,,,
JZOOL,1985,3918,marcia,a,edwards,,,,,,,,,,,,,,,,
JZOOL,1986,3918,marcia,a,edwards,,,,,,,,,,,,,,,,
JZOOL,1989,72,a,a,fincham,,,,,,,,,,,,,,,,
JZOOL,1992,72,a,a,fincham,,,,,,,,,,,,,,,,
JZOOL,2011,2807,p,a,fleming,,,,,,,,,,,,,,,,
JZOOL,2014,2807,p,a,fleming,,,,,,,,,,,,,,,,
JZOOL,1989,277,b,green,gardiner,,,,,,,,,,,,,,,,
JZOOL,1993,277,b,green,gardiner,,,,,,,,,,,,,,,,
JZOOL,1991,1614,j,NA,gurnell,,,,,,,,,,,,,,,,
JZOOL,1995,1614,j,NA,gurnell,,,,,,,,,,,,,,,,
JZOOL,2011,103,a,NA,herrel,,,,,,,,,,,,,,,,
JZOOL,2014,103,a,NA,herrel,,,,,,,,,,,,,,,,
JZOOL,1993,2826,p,j,herring,,,,,,,,,,,,,,,,
JZOOL,1995,2826,p,j,herring,,,,,,,,,,,,,,,,
JZOOL,2011,3110,r,NA,jenner,,,,,,,,,,,,,,,,
JZOOL,2014,3110,r,NA,jenner,,,,,,,,,,,,,,,,
JZOOL,2008,3838,yvonne-marie,NA,linton,,,,,,,,,,,,,,,,
JZOOL,2010,3838,yvonne-marie,NA,linton,,,,,,,,,,,,,,,,
JZOOL,2008,1730,john,NA,lynch,,,,,,,,,,,,,,,,
JZOOL,2014,1730,john,NA,lynch,,,,,,,,,,,,,,,,
JZOOL,1987,TBD,unity,mm,mcdonnell,,,,,,,,,,,,,,,,
JZOOL,1997,TBD,unity,m,mcdonnell,,,,,,,,,,,,,,,,
JZOOL,2008,148,alan,NA,mcelligott,,,,,,,,,,,,,,,,
JZOOL,2014,148,alan,NA,mcelligott,,,,,,,,,,,,,,,,
JZOOL,1989,1761,j,b,messenger,,,,,,,,,,,,,,,,
JZOOL,1991,1761,j,b,messenger,,,,,,,,,,,,,,,,
JZOOL,2008,328,ben,NA,moore,,,,,,,,,,,,,,,,
JZOOL,2014,328,ben,NA,moore,,,,,,,,,,,,,,,,
JZOOL,2008,2879,peter,kl,ng,,,,,,,,,,,,,,,,
JZOOL,2014,2879,peter,kl,ng,,,,,,,,,,,,,,,,
JZOOL,1992,2491,marion,NA,nixon,,,,,,,,,,,,,,,,
JZOOL,1995,2491,marion,NA,nixon,,,,,,,,,,,,,,,,
JZOOL,1989,TBD,j,d,pye,,,,,,,,,,,,,,,,
JZOOL,1990,TBD,j,d,pye,,,,,,,,,,,,,,,,
JZOOL,2011,2681,n,NA,raihani,,,,,,,,,,,,,,,,
JZOOL,2014,2681,n,NA,raihani,,,,,,,,,,,,,,,,
JZOOL,1990,2899,p,s,rainbow,,,,,,,,,,,,,,,,
JZOOL,1994,2899,p,s,rainbow,,,,,,,,,,,,,,,,
JZOOL,2009,2682,n,NA,raine,,,,,,,,,,,,,,,,
JZOOL,2014,2682,n,NA,raine,,,,,,,,,,,,,,,,
JZOOL,1987,TBD,angela,NA,stroud,,,,,,,,,,,,,,,,
JZOOL,1997,TBD,angela,NA,stroud,,,,,,,,,,,,,,,,
JZOOL,1991,3232,r,c,tinsley,,,,,,,,,,,,,,,,
JZOOL,1995,3232,r,c,tinsley,,,,,,,,,,,,,,,,
JZOOL,1999,TBD,linda,da,volls,,,,,,,,,,,,,,,,
JZOOL,2006,TBD,linda,da,volls,,,,,,,,,,,,,,,,
JZOOL,1989,2955,p,j,whitfield,,,,,,,,,,,,,,,,
JZOOL,1990,2955,p,j,whitfield,,,,,,,,,,,,,,,,
