index,Name1,Name2,Name_sim,Name_dist
125,Instituto Nacional de Pesquisas da Amazonia INPA,Instituto Nacional de Pesquisas da Amazonia-INPA,0.98,1
37,California State University Dominguez Hills,California State University-Dominguez Hills,0.98,1
382,Universidad Nacaional Autonoma de Mexico,Universidad Nacional Autonoma de Mexico,0.98,1
832,Xishuangbanna Tropical Botanical Garden,Xishuangbanna Tropical Botannical Garden,0.98,1
621,University of Massachusetts Amherst,University of Massachusetts-Amherst,0.97,1
47,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Commonwealth Scientific and Industrial Research Organisation CSIRO,0.97,2
472,University of California--Berkeley,University of California-Berkeley,0.97,1
474,University of California-Berkeley,University of California-Berkely,0.97,1
265,Netherlands Institue of Ecology,Netherlands Institute of Ecology,0.97,1
809,Virginia Commonwealth University,Virginia Commonweath University,0.97,1
456,University of British Colombia,University of British Columbia,0.97,1
491,University of Colorado Boulder,University of Colorado-Boulder,0.97,1
19,Archbold Biological Station,Archibold Biological Station,0.96,1
182,Louisiana State University,Louisisana State University,0.96,1
183,Louisiana State University,Lousiana State University,0.96,1
29,Brigham Young University,Bringham Young University,0.96,1
492,University of Connecticut,University of Connetticut,0.96,1
352,Smithosonian Institution,Smithsonian Institution,0.96,1
162,kansas State University,Kansas State University,0.96,1
390,Universite de Montreal,"Universite de Montreal""",0.96,1
623,University of Melbourne,Unversity of Melbourne,0.96,1
660,University of Sao Paolo,University of Sao Paulo,0.96,1
719,University of Wuerzburg,University of Wurzburg,0.96,1
584,University of illinois,University of Illinois,0.95,1
145,Iowa State University,lowa State University,0.95,1
75,CSIRO Plant Industry,CSIRO-Plant Industry,0.95,1
100,Griffith University,"Griffith University,",0.95,1
830,Wesleyan University,Westleyan University,0.95,1
46,Columbia Universily,Columbia University,0.95,1
176,La Trobe University,LaTrobe University,0.95,1
268,no one by this name,No one by this name,0.95,1
380,Univerity of Utah,University of Utah,0.94,1
355,Southeast Missouri State University,Southwest Missouri State University,0.94,2
622,University of Massachusetts-Boston,"University of Massachusetts, Boston",0.94,2
473,University of California--Berkeley,University of California-Berkely,0.94,2
810,Virginia Polytechnic Institute & State University,Virginia Polytechnic Institute and State University,0.94,3
591,University of Illinois-Chicago,"University of Illinois, Chicago",0.94,2
24,Austrailan National University,Australian National University,0.93,2
271,North Dakota State University,South Dakota State University,0.93,2
111,Indian Institue of Science,Indian Institute of Sciences,0.93,2
173,King's College,King'S College,0.93,1
83,Eastern Michigan University,Western Michigan University,0.93,2
184,Louisisana State University,Lousiana State University,0.93,2
817,Washington State University,Washington State Univesrity,0.93,2
818,Washington State University,Washington State Unviersity,0.93,2
639,University of Nevada-Reno,"University of Nevada, Reno",0.92,2
645,University of North Dakota,University of South Dakota,0.92,2
38,Canadian Forest Service,Canadian Forestry Service,0.92,2
225,Michigan State University,Mighican State University,0.92,2
272,Northeastern University,Northwestern University,0.91,2
85,Environmental Protection Agency,US Environmental Protection Agency,0.91,3
496,University of Freiburg,University of Fribourg,0.91,2
831,Xishuangbanna Tropical Botanical Garden,"Xishuangbanna Tropical Botanical Garden,CAS",0.91,4
17,Agriculture & Agri-Food Canada,Agriculture and Agri-Food Canada,0.91,3
503,University of Hamburg,University of Marburg,0.90,2
425,University of Bergen,University of Bern,0.90,2
601,University of Leiden,University of Leuven,0.90,2
123,Instituto Nacional de Pesquisas da Amazonia,Instituto Nacional de Pesquisas da Amazonia INPA,0.90,5
124,Instituto Nacional de Pesquisas da Amazonia,Instituto Nacional de Pesquisas da Amazonia-INPA,0.90,5
665,University of Tartu,University of Turku,0.89,2
388,Universite de Montpellier II,Universite Montpellier II,0.89,3
27,Beijing Forestry University,Nanjing Forestry University,0.89,3
269,North Arizona University,Northern Arizona University,0.89,3
360,Swiss Federal Research Institute,Swiss Federal Research Institute Wsl,0.89,4
361,Swiss Federal Research Institute,WSL Swiss Federal Research Institute,0.89,4
428,University of Bern,University of Bonn,0.89,2
653,University of Oslo,University of Oulu,0.89,2
344,Royal Veterinary and Agricultural University,Royal Veterinary&Agricultural University,0.89,5
270,North Carolina A&T State University,North Carolina State University,0.89,4
414,University of Alabama in Huntsville,University of Alabama-Huntsville,0.89,4
833,"Xishuangbanna Tropical Botanical Garden,CAS",Xishuangbanna Tropical Botannical Garden,0.88,5
26,Bangor University,Baylor University,0.88,2
41,Centre d'Ecologie Fonctionelle et Evolutive,Centre d'Ecologie Fonctionnelle et Evolutive-CNRS,0.88,6
30,Brock University,Brown University,0.88,2
392,Universite de Sherbrooke,University of Sherbrooke,0.88,3
475,University of California-Berkely,University of California-Merced,0.88,4
612,University of Manchester,University of Rochester,0.88,3
88,Florida Institute of Technology,Georgia Institute of Technology,0.87,4
476,University of California-Davis,University of California-Irvine,0.87,4
48,Consejo Superior de Investigaciones Cientificas,Consejo Superior de Investigaciones Cientificas (CSIC),0.87,7
354,Smithsonian Institute,Smithsonian Institution,0.87,3
500,University of Gottingen,University of Groningen,0.87,3
631,University of Minnesota,Unversity of Minnestoa,0.87,3
666,University of Tennessee,versity of Tennessee,0.87,3
107,Idaho State University,Utah State University,0.86,3
384,Universite de Lausanne,University of Lausanne,0.86,3
424,University of Arkansas,University of Kansas,0.86,3
504,University of Hamburg,University of Salzburg,0.86,3
614,University of Marburg,University of Salzburg,0.86,3
615,University of Marburg,University of Wurzburg,0.86,3
659,University of Salzburg,University of Wurzburg,0.86,3
121,Institute of Ecosystem Studies,Cary Institute of Ecosystem Studies,0.86,5
363,Syngenta Crop Protection,Syngenta Crop Protection Inc,0.86,4
411,University of Alabama,University of Alaska,0.86,3
484,University of College,University College,0.86,3
673,University of Toronto,University of Tromso,0.86,3
429,University of Bern,University of Bremen,0.85,3
600,University of Leeds,University of Leiden,0.85,3
655,University of Otago,University of Oregon,0.85,3
662,University of Tartu,University of Aarhus,0.85,3
22,Ashoka Trust for Research in Ecology and the Environment,Ashoka Trust for Research in Ecology and the Environment Bangalore,0.85,10
479,University of California-Merced,University of California-Berkeley,0.85,5
507,University of Hawaii-Hilo,University of Hawaii-Manoa,0.85,4
480,University of California-Santa Cruz,University of California-Santa Barbara,0.84,6
604,University of Lund,University of Leeds,0.84,3
658,University of Oulu,University of Tulsa,0.84,3
701,University of Utah,University of Idaho,0.84,3
702,University of Utah,University of Otago,0.84,3
736,University of York,University of Turku,0.84,3
78,Desert Research Institute,Forest Research Institute,0.84,4
90,Florida State University,Colorado State University,0.84,4
43,China Agricultural University,Nanjing Agricultural University,0.84,5
194,lowa State University,Florida State University,0.83,4
353,Smithsonian Institute,Smithosonian Institution,0.83,4
481,University of Canberra,University of Canterbury,0.83,4
501,University of Gottingen,University of Nottingham,0.83,4
538,University of Ife,University of Iowa,0.83,3
576,University of Ife,University of Umea,0.83,3
693,University of Ulm,University of Umea,0.83,3
696,University of Ulm,University of Utah,0.83,3
699,University of Umea,University of Utah,0.83,3
322,Penn State University,Oregon State University,0.83,4
370,Texas State University,kansas State University,0.83,4
371,Texas State University,Kansas State University,0.83,4
477,University of California-Irvine,University of California-Riverside,0.82,6
478,University of California-Merced,University of California--Berkeley,0.82,6
140,Iowa State University,Idaho State University,0.82,4
284,Ohio State University,Idaho State University,0.82,4
328,Penn State University,Wayne State University,0.82,4
807,Utah State University,Texas State University,0.82,4
400,University of Agricultural Sciences,Swedish University of Agricultural Sciences,0.81,8
243,Moi University,Miami University,0.81,3
924,York University,Brock University,0.81,3
926,York University,Clark University,0.81,3
927,York University,Emory University,0.81,3
151,Iowa State University,Ohio State University,0.81,4
208,lowa State University,Ohio State University,0.81,4
294,Ohio State University,Utah State University,0.81,4
407,University of Akron,University of Toronto,0.81,4
439,University of Bern,University of Vermont,0.81,4
444,University of Bonn,University of Bologna,0.81,4
453,University of Bonn,University of Montana,0.81,4
482,University of Chile,University of Chicago,0.81,4
483,University of Chile,University of College,0.81,4
663,University of Tartu,University of Marburg,0.81,4
703,University of Utah,University of Utrecht,0.81,4
704,University of Vermont,University of Toronto,0.81,4
710,University of Wales,University of Salento,0.81,4
790,Utah State University,Iowa State University,0.81,4
796,Utah State University,lowa State University,0.81,4
40,CATIE Center for Tropical Agricultural Research and Education,Center for Tropical Agricultural Research and Education CATIE,0.80,12
192,lowa State University,Colorado State University,0.80,5
193,lowa State University,Delaware State University,0.80,5
209,lowa State University,Oklahoma State University,0.80,5
223,McMaster University,Lancaster University,0.80,4
246,Moi University,Ohio University,0.80,3
398,University College Cork,University College London,0.80,5
463,University of California,University of California-Davis,0.80,6
467,University of California,University of California-NCEAS,0.80,6
505,University of Hawaii,University of Hawaii-Hilo,0.80,5
595,University of Iowa,University of Hawaii,0.80,4
605,University of Lund,University of Leiden,0.80,4
637,University of Nevada,University of Nevada-Reno,0.80,5
654,University of Oslo,University of Oxford,0.80,4
707,University of Vigo,University of Vienna,0.80,4
36,California State University,California State University-Fresno,0.79,7
619,University of Massachusetts,University of Massachusetts-Boston,0.79,7
9,Agricultural University,China Agricultural University,0.79,6
671,University of Texas-Austin,University of Texas-Arlington,0.79,6
130,Iowa State University,Arizona State University,0.79,5
138,Iowa State University,Florida State University,0.79,5
139,Iowa State University,Georgia State University,0.79,5
146,Iowa State University,Montana State University,0.79,5
166,kansas State University,Montana State University,0.79,5
171,Kansas State University,Montana State University,0.79,5
185,lowa State University,Arizona State University,0.79,5
196,lowa State University,Georgia State University,0.79,5
202,lowa State University,Montana State University,0.79,5
320,Penn State University,Montana State University,0.79,5
799,Utah State University,Montana State University,0.79,5
94,French National Institute for Agricultural Research INRA,French National Institute for Agricultural Research Centre de Nancy,0.79,14
25,Australian National University,ANUTECH Australian National University,0.79,8
222,Massey University,McMaster University,0.79,4
308,Oxford University,Stanford University,0.79,4
383,Universidade Estadual Paulista,Universidade Estadual Paulista (UNESP),0.79,8
530,University of Ife,University of Ghent,0.79,4
533,University of Ife,University of Idaho,0.79,4
541,University of Ife,University of Leeds,0.79,4
598,University of Iowa,University of Idaho,0.79,4
626,University of Miami,University of Maine,0.79,4
931,York University,New York University,0.79,4
228,Mississippi State Univ,Mississippi State University,0.79,6
147,Iowa State University,Moscow State University,0.78,5
203,lowa State University,Moscow State University,0.78,5
394,University College,University College Cork,0.78,5
502,University of Hamburg,University of Cambridge,0.78,5
722,University of Wyoming,University of Groningen,0.78,5
791,Utah State University,kansas State University,0.78,5
792,Utah State University,Kansas State University,0.78,5
42,Charles Darwin University,Charles Darwin University Darwin,0.78,7
95,Georgia State University,California State University,0.78,6
362,Swiss Federal Research Institute Wsl,WSL Swiss Federal Research Institute,0.78,8
519,University of Ife,University of Bern,0.78,4
464,University of California,University of California-Irvine,0.77,7
466,University of California,University of California-Merced,0.77,7
197,lowa State University,Idaho State University,0.77,5
226,Mississippi State,Mississippi State Univ,0.77,5
386,Universite de Moncton,Universite de Montreal,0.77,5
401,University of Agricultural Sciences,University of Agricultural Science Bangalore,0.77,10
420,University of Alberta,University of Aberdeen,0.77,5
440,University of Bologna,University of Colorado,0.77,5
445,University of Bonn,University of Botswana,0.77,5
609,University of Maine,University of Manitoba,0.77,5
628,University of Miami,University of Michigan,0.77,5
651,University of Oslo,University of Oklahoma,0.77,5
706,University of Vigo,University of Victoria,0.77,5
708,University of Vigo,University of Virginia,0.77,5
617,University of Massachusetts,University of Massachusetts Amherst,0.77,8
618,University of Massachusetts,University of Massachusetts-Amherst,0.77,8
620,University of Massachusetts,"University of Massachusetts, Boston",0.77,8
160,Israel Institute of Technology,Technion-Israel Institute of Technology,0.77,9
458,University of British Columbia,University of British Columbia-Okanagan,0.77,9
506,University of Hawaii,University of Hawaii-Manoa,0.77,6
638,University of Nevada,"University of Nevada, Reno",0.77,6
11,Agricultural University,Kerala Agricultural University,0.77,7
13,Agricultural University,Punjab Agricultural University,0.77,7
630,University of Minnesota,University of Minnesota-Duluth,0.77,7
81,Duke University,Purdue University,0.76,4
87,Field Museum Of Natural History,Carnegie Museum of Natural History,0.76,8
298,Open University,Leiden University,0.76,4
643,University of North Carolina,University of South Carolina-Aiken,0.76,8
913,Yale University,Tulane University,0.76,4
933,York University,Oxford University,0.76,4
450,University of Bonn,University of Joensuu,0.76,5
606,University of Lund,University of Windsor,0.76,5
646,University of Oslo,University of Bologna,0.76,5
676,University of Ulm,University of Alabama,0.76,5
694,University of Ulm,University of Uppsala,0.76,5
734,University of York,University of Toronto,0.76,5
105,Idaho State University,Colorado State University,0.76,6
137,Iowa State University,Colorado State University,0.76,6
141,Iowa State University,Illinois State University,0.76,6
144,Iowa State University,Lousiana State University,0.76,6
152,Iowa State University,Oklahoma State University,0.76,6
165,kansas State University,Lousiana State University,0.76,6
170,Kansas State University,Lousiana State University,0.76,6
198,lowa State University,Illinois State University,0.76,6
201,lowa State University,Lousiana State University,0.76,6
212,lowa State University,Portland State University,0.76,6
285,Ohio State University,Illinois State University,0.76,6
323,Penn State University,Portland State University,0.76,6
632,University of Missouri,University of Mississippi,0.76,6
803,Utah State University,Oklahoma State University,0.76,6
821,Wayne State University,Delaware State University,0.76,6
264,Natural History Museum,Natural History Museum London,0.76,7
91,Forest Research Institute,Finnish Forest Research Institute,0.76,8
358,State University of New York,State University of New York-Syracuse,0.76,9
118,INRA,INTA,0.75,1
224,Michigan State University,Appalachian State University,0.75,7
241,Moi University,Kyoto University,0.75,4
283,Ohio State University,Georgia State University,0.75,6
310,Penn State University,Arizona State University,0.75,6
462,University of California,University of California-Berkely,0.75,8
518,University of Ife,University of Bergen,0.75,5
520,University of Ife,University of Bremen,0.75,5
524,University of Ife,University of Exeter,0.75,5
531,University of Ife,University of Guelph,0.75,5
542,University of Ife,University of Leiden,0.75,5
544,University of Ife,University of Leuven,0.75,5
558,University of Ife,University of Oregon,0.75,5
579,University of Ife,University of Vienna,0.75,5
661,University of Stirling,University of Birmingham,0.75,6
679,University of Ulm,University of Alaska,0.75,5
695,University of Ulm,University of Urbino,0.75,5
721,University of Wyoming,University of Birmingham,0.75,6
723,University of Wyoming,University of Washington,0.75,6
827,Wayne State University,Montana State University,0.75,6
869,Yale University,Laval University,0.75,4
39,Carl-von-Ossietzky University,Carl-von-Ossietzky University Oldenburg,0.74,10
457,University of British Colombia,University of British Columbia-Okanagan,0.74,10
12,Agricultural University,Nanjing Agricultural University,0.74,8
715,University of Wisconsin,University of Wisconsin-Madison,0.74,8
187,lowa State University,California State University,0.74,7
494,University of Exeter,University of Exeter Penryn,0.74,7
737,University of Zurich,University of Zurich-Irchel,0.74,7
153,Iowa State University,Oregon State University,0.74,6
210,lowa State University,Oregon State University,0.74,6
387,Universite de Moncton,"Universite de Montreal""",0.74,6
449,University of Bonn,University of Hong Kong,0.74,6
610,University of Maine,University of Minnesota,0.74,6
751,US Forest Service,"US Forest Service, USDA",0.74,6
23,Austrailan National University,ANUTECH Australian National University,0.74,10
570,University of Ife,University of Texas,0.74,5
489,University of Colorado,University of Colorado Boulder,0.73,8
490,University of Colorado,University of Colorado-Boulder,0.73,8
588,University of Illinois,University of Illinois-Chicago,0.73,8
816,Wageningen University and Research Centre,Wageningen University Research Center-Alterra,0.73,12
142,Iowa State University,Louisiana State University,0.73,7
157,Iowa State University,Sao Paulo State University,0.73,7
163,kansas State University,Louisiana State University,0.73,7
168,Kansas State University,Louisiana State University,0.73,7
199,lowa State University,Louisiana State University,0.73,7
215,lowa State University,Sao Paulo State University,0.73,7
289,Ohio State University,San Diego State University,0.73,7
306,Oregon State University,San Diego State University,0.73,7
669,University of Texas,University of Texas-Austin,0.73,7
461,University of California,University of California-Berkeley,0.73,9
499,University of Ghent,University of Kentucky,0.73,6
627,University of Miami,University of Manitoba,0.73,6
647,University of Oslo,University of Colorado,0.73,6
656,University of Oulu,University of Oklahoma,0.73,6
381,Universidad Catolica de Chile,Pontificia Universidad Catolica de Chile,0.73,11
819,Washington University,Western Washington University,0.72,8
375,UFZ Centre for Environmental Research,Helmholtz Centre for Environmental Research-UFZ,0.72,13
262,Museum National d'Histoire,Museum National d'Histoire Naturelle,0.72,10
852,Yale University,Colgate University,0.72,5
914,Yale University,Uppsala University,0.72,5
282,Ohio State University,Colorado State University,0.72,7
313,Penn State University,Delaware State University,0.72,7
317,Penn State University,Lousiana State University,0.72,7
318,Penn State University,Michigan State University,0.72,7
319,Penn State University,Mighican State University,0.72,7
395,University College,University College Dublin,0.72,7
396,University College,University College London,0.72,7
795,Utah State University,Lousiana State University,0.72,7
797,Utah State University,Michigan State University,0.72,7
798,Utah State University,Mighican State University,0.72,7
824,Wayne State University,Lousiana State University,0.72,7
828,Wayne State University,Portland State University,0.72,7
717,University of Wisconsin,University of Wisconsin-Parkside,0.72,9
356,State University of New York,State University of New York-Binghamton,0.72,11
642,University of North Carolina,University of North Carolina-Greensboro,0.72,11
3,AgResearch,AgResearch Ltd,0.71,4
389,Universite de Montreal,Universite de Montpellier II,0.71,8
391,"Universite de Montreal""",Universite de Montpellier II,0.71,8
404,University of Agriculture,University of Agricultural Sciences,0.71,10
539,University of Ife,University of Joensuu,0.71,6
640,University of New England,"University of New England, Armidale",0.71,10
650,University of Oslo,University of Florida,0.71,6
682,University of Ulm,University of Alberta,0.71,6
685,University of Ulm,University of Florida,0.71,6
686,University of Ulm,University of Hamburg,0.71,6
697,University of Ulm,University of Utrecht,0.71,6
590,University of Illinois,"University of Illinois, Chicago",0.71,9
633,University of Missouri,University of Missouri-Columbia,0.71,9
634,University of Missouri,University of Missouri-St Louis,0.71,9
106,Idaho State University,Florida State University,0.71,7
427,University of Bern,University of Birmingham,0.71,7
437,University of Bern,University of Peradeniya,0.71,7
608,University of Maine,University of Manchester,0.71,7
625,University of Miami,University of Birmingham,0.71,7
781,Utah State University,Arizona State University,0.71,7
788,Utah State University,Florida State University,0.71,7
789,Utah State University,Georgia State University,0.71,7
229,Moi University,Bangor University,0.71,5
230,Moi University,Baylor University,0.71,5
232,Moi University,Boston University,0.71,5
460,University of California,University of California--Berkeley,0.71,10
468,University of California,University of California-Riverside,0.71,10
469,University of California,University of California-San Diego,0.71,10
922,York University,Bangor University,0.71,5
923,York University,Baylor University,0.71,5
132,Iowa State University,California State University,0.70,8
143,Iowa State University,Louisisana State University,0.70,8
164,kansas State University,Louisisana State University,0.70,8
169,Kansas State University,Louisisana State University,0.70,8
200,lowa State University,Louisisana State University,0.70,8
277,Ohio State University,California State University,0.70,8
287,Ohio State University,New Mexico State University,0.70,8
327,Penn State University,Washington State University,0.70,8
670,University of Texas,University of Texas-El Paso,0.70,8
644,University of North Carolina,University of South Carolina-Columbia,0.70,11
357,State University of New York,State University of New York-Stony Brook,0.70,12
369,Texas A&M Univ,Texas A&M University,0.70,6
546,University of Ife,University of Mexico,0.70,6
548,University of Ife,University of Nevada,0.70,6
564,University of Ife,University of Regina,0.70,6
585,University of illinois,University of Illinois-Chicago,0.70,9
641,University of North Carolina,University of North Carolina-Chapel Hill,0.70,12
7,Agricultural University,Agricultural University of Norway,0.70,10
716,University of Wisconsin,University of Wisconsin-Milwaukee,0.70,10
109,Imperial College,Imperial College London,0.70,7
406,University of Akron,University of Groningen,0.70,7
438,University of Bern,University of Tennessee,0.70,7
451,University of Bonn,University of Minnesota,0.70,7
455,University of Bonn,University of Tennessee,0.70,7
566,University of Ife,University of Sheffield,0.70,7
34,California State University,California State University-Bakersfield,0.69,12
291,Ohio State University,Sao Paulo State University,0.69,8
315,Penn State University,Louisiana State University,0.69,8
324,Penn State University,San Diego State University,0.69,8
709,University of Waikato,University of Saskatchewan,0.69,8
793,Utah State University,Louisiana State University,0.69,8
822,Wayne State University,Louisiana State University,0.69,8
167,kansas State University,Pennsylvania State University,0.69,9
172,Kansas State University,Pennsylvania State University,0.69,9
372,Texas State University,Southwest Texas State University,0.69,10
471,University of California,University of California-Santa Cruz,0.69,11
82,Duke University,Syracuse University,0.68,6
296,Open University,Aberdeen University,0.68,6
874,Yale University,Marshall University,0.68,6
934,York University,Stanford University,0.68,6
6,Agricultural Research Center,US Arid Land Agricultural Research Center,0.68,13
31,Brock University,Stony Brook University,0.68,7
122,Institute of Tropical Forestry,International Institute of Tropical Forestry,0.68,14
435,University of Bern,University of Kentucky,0.68,7
516,University of Ife,University of Aberdeen,0.68,7
517,University of Ife,University of Adelaide,0.68,7
523,University of Ife,University of Delaware,0.68,7
527,University of Ife,University of Freiburg,0.68,7
534,University of Ife,University of Illinois,0.68,7
687,University of Ulm,University of illinois,0.68,7
688,University of Ulm,University of Illinois,0.68,7
726,University of York,University of Arkansas,0.68,7
421,University of Amsterdam,Free University Amsterdam,0.68,8
447,University of Bonn,University of Connecticut,0.68,8
448,University of Bonn,University of Connetticut,0.68,8
629,University of Miami,University of Mississippi,0.68,8
825,Wayne State University,Michigan State University,0.68,8
826,Wayne State University,Mighican State University,0.68,8
195,lowa State University,Fort Valley State University,0.68,9
276,Ohio State University,Appalachian State University,0.68,9
780,Utah State University,Appalachian State University,0.68,9
587,University of illinois,"University of Illinois, Chicago",0.68,10
8,Agricultural University,Agricultural University Wageningen,0.68,11
16,Agricultural University,Wageningen Agricultural University,0.68,11
20,Arizona State University,Arizona State University-West Campus,0.67,12
77,Desert Research Institute,Finnish Forest Research Institute,0.67,11
102,Harvard University,Harvard University Herbaria,0.67,9
148,Iowa State University,New Mexico State University,0.67,9
174,King's College,King's College London,0.67,7
205,lowa State University,New Mexico State University,0.67,9
220,Lund University,Radboud University,0.67,6
235,Moi University,Clemson University,0.67,6
236,Moi University,Denison University,0.67,6
238,Moi University,Hampton University,0.67,6
242,Moi University,Lanzhou University,0.67,6
255,Moi University,Waikato University,0.67,6
297,Open University,Copenhagen University,0.67,7
316,Penn State University,Louisisana State University,0.67,9
331,Philipps-University,PhiIipps-University Marburg,0.67,9
335,Queen's University,Queen's University Kingston,0.67,9
336,Radboud University,Radboud University Nijmegen,0.67,9
417,University of Alaska,University of Alaska Fairbanks,0.67,10
465,University of California,University of California-Los Angeles,0.67,12
528,University of Ife,University of Georgia,0.67,7
577,University of Ife,University of Vermont,0.67,7
636,University of Nevada,University of Nevada-Las Vegas,0.67,10
711,University of Wales,University of Washington,0.67,8
744,Unversity of Minnestoa,University of Minnesota-Duluth,0.67,10
794,Utah State University,Louisisana State University,0.67,9
808,Utah State University,Washington State University,0.67,9
823,Wayne State University,Louisisana State University,0.67,9
10,Agricultural University,Estonian Agricultultural University,0.66,12
422,University of Amsterdam,VUniversity of University Amsterdam,0.66,12
718,University of Wisconsin,University of Wisconsin-River Falls,0.66,12
161,James Cook University,James Cook University Townsville,0.66,11
342,Royal Botanic Gardens,"Royal Botanic Gardens, Melbourne",0.66,11
410,University of Alabama,University of Alabama-Huntsville,0.66,11
150,Iowa State University,North Dakota State University,0.66,10
158,Iowa State University,South Dakota State University,0.66,10
207,lowa State University,North Dakota State University,0.66,10
211,lowa State University,Pennsylvania State University,0.66,10
216,lowa State University,South Dakota State University,0.66,10
667,University of Texas,University of Texas at Austin,0.66,10
668,University of Texas,University of Texas-Arlington,0.66,10
